station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
CVG,2023-12-01 0:52,54,33,44.74,180,8,0,29.97,1015,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,54,KCVG 010052Z 18008KT 10SM OVC060 12/01 A2997 RMK AO2 SLP150 T01220006,null
CVG,2023-12-01 1:52,54,32,42.98,200,7,0,29.98,1015.2,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,54,KCVG 010152Z 20007KT 10SM OVC060 12/00 A2998 RMK AO2 SLP152 T01220000,null
CVG,2023-12-01 2:52,51,33,49.96,180,4,0,29.98,1015.3,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,51,KCVG 010252Z 18004KT 10SM OVC060 11/01 A2998 RMK AO2 SLP153 T01060006 53004,null
CVG,2023-12-01 3:52,50,33,51.85,170,4,0,29.99,1015.5,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,50,KCVG 010352Z 17004KT 10SM OVC060 10/01 A2999 RMK AO2 SLP155 T01000006,null
CVG,2023-12-01 4:52,47,33,58.01,170,6,0,29.98,1015.1,10,null,BKN,null,null,null,6500,null,null,null,null,null,null,null,null,null,null,43.6,KCVG 010452Z 17006KT 10SM BKN065 08/01 A2998 RMK AO2 SLP151 T00830006 401440011,null
CVG,2023-12-01 5:52,49,33,53.82,190,7,0,29.99,1015.3,10,null,BKN,OVC,null,null,7000,8500,null,null,null,null,null,null,null,null,null,45.5,KCVG 010552Z 19007KT 10SM BKN070 OVC085 09/01 A2999 RMK AO2 SLP153 T00940006 10122 20083 53001,null
CVG,2023-12-01 6:52,50,32,49.81,180,9,0,29.98,1015.1,10,null,BKN,OVC,null,null,8500,11000,null,null,null,null,null,null,null,null,null,50,KCVG 010652Z 18009KT 10SM BKN085 OVC110 10/00 A2998 RMK AO2 SLP151 T01000000,null
CVG,2023-12-01 7:52,49,32,51.7,180,8,0,29.97,1014.6,10,null,OVC,null,null,null,10000,null,null,null,null,null,null,null,null,null,null,45.05,KCVG 010752Z 18008KT 10SM OVC100 09/00 A2997 RMK AO2 SLP146 T00940000,null
CVG,2023-12-01 8:52,51,30,44.26,200,11,0,29.99,1015.4,10,19,SCT,OVC,null,null,7000,9500,null,null,null,null,null,null,null,null,null,51,KCVG 010852Z 20011G19KT 10SM SCT070 OVC095 11/M01 A2999 RMK AO2 CIG 070 36R SLP154 T01061011 53001,null
CVG,2023-12-01 9:52,43,42,96.23,190,6,0.1,30,1015.8,5,null,OVC,null,null,null,4200,null,null,null,RA BR,null,null,null,34,220,2023-12-01 9:04,38.78,KCVG 010952Z 19006KT 5SM RA BR OVC042 06/06 A3000 RMK AO2 PK WND 22034/0904 RAB0857 SLP158 P0010 T00610056,null
CVG,2023-12-01 10:52,42,42,100,150,5,0.05,29.97,1014.9,9,null,OVC,null,null,null,5000,null,null,null,#NAME?,null,null,null,null,null,null,38.27,KCVG 011052Z 15005KT 9SM -RA OVC050 06/06 A2997 RMK AO2 SLP149 P0005 T00560056,null
CVG,2023-12-01 11:52,44,42,92.61,130,10,0.03,29.92,1013.1,10,null,BKN,OVC,null,null,4100,7000,null,null,#NAME?,null,null,null,null,null,null,38.02,KCVG 011152Z 13010KT 10SM -RA BKN041 OVC070 07/06 A2992 RMK AO2 SLP131 P0003 60018 70018 T00670056 10106 20056 58024,null
CVG,2023-12-01 12:42,43,41,92.58,140,13,T,29.9,null,3,null,OVC,null,null,null,3700,null,null,null,#NAME?,null,null,null,null,null,null,35.66,KCVG 011242Z 14013KT 3SM -RA BR OVC037 06/05 A2990 RMK AO2 RAE1158B32 P0000 T00610050,null
CVG,2023-12-01 12:52,43,42,96.23,140,12,T,29.9,1012.3,3,null,FEW,OVC,null,null,3000,3700,null,null,#NAME?,null,null,null,null,null,null,36,KCVG 011252Z 14012KT 3SM -RA BR FEW030 OVC037 06/06 A2990 RMK AO2 RAE1158B32 SLP123 P0000 T00610056,null
CVG,2023-12-01 13:08,42,42,100,140,10,0.01,29.9,null,3,null,FEW,BKN,OVC,null,1700,2900,3700,null,#NAME?,null,null,null,null,null,null,35.51,KCVG 011308Z COR 14010KT 3SM -RA BR FEW017 BKN029 OVC037 06/06 A2990 RMK VIS N21/2 AO2 P0001 T00560056,null
CVG,2023-12-01 13:21,42,42,100,140,11,0.01,29.9,null,2.5,null,FEW,BKN,OVC,null,1000,2200,2900,null,#NAME?,null,null,null,null,null,null,35.1,KCVG 011321Z 14011KT 2 1/2SM -RA BR FEW010 BKN022 OVC029 06/06 A2990 RMK AO2 TWR VIS 3 P0001 T00560056,null
CVG,2023-12-01 13:24,42,42,100,150,11,0.02,29.9,null,2,null,FEW,BKN,OVC,null,900,2200,2900,null,RA BR,null,null,null,null,null,null,35.1,KCVG 011324Z 15011KT 2SM RA BR FEW009 BKN022 OVC029 06/06 A2990 RMK AO2 P0002 T00560056,null
CVG,2023-12-01 13:48,42.8,42.8,100,150,12,0.06,29.89,null,2,null,BKN,OVC,null,null,900,1600,null,null,#NAME?,null,null,null,null,null,null,35.75,KCVG 011348Z 15012KT 2SM -RA BR BKN009 OVC016 06/06 A2989 RMK AO2 P0006,null
