station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
DAB,2023-12-01 0:53,61,57,86.67,0,0,0,30.15,1020.7,10,null,FEW,FEW,SCT,null,6000,15000,20000,null,MIFG,null,null,null,null,null,null,61,KDAB 010053Z 00000KT 10SM MIFG FEW060 FEW150 SCT200 16/14 A3015 RMK AO2 SLP207 T01610139,null
DAB,2023-12-01 1:53,61,58,89.84,0,0,0,30.15,1020.7,10,null,FEW,SCT,SCT,null,4200,15000,20000,null,MIFG,null,null,null,null,null,null,61,KDAB 010153Z 00000KT 10SM MIFG FEW042 SCT150 SCT200 16/14 A3015 RMK AO2 SLP207 T01610144,null
DAB,2023-12-01 2:53,60,58,93.1,0,0,0,30.15,1021,10,null,FEW,SCT,BKN,null,4200,15000,20000,null,MIFG,null,null,null,null,null,null,60,KDAB 010253Z 00000KT 10SM MIFG FEW042 SCT150 BKN200 16/14 A3015 RMK AO2 SLP210 T01560144 53004,null
DAB,2023-12-01 3:53,61,59,93.12,0,0,0,30.13,1020.2,10,null,FEW,OVC,null,null,15000,20000,null,null,null,null,null,null,null,null,null,61,KDAB 010353Z 00000KT 10SM FEW150 OVC200 16/15 A3013 RMK AO2 SLP202 T01610150,null
DAB,2023-12-01 4:53,62,59,89.89,0,0,0,30.14,1020.5,10,null,SCT,SCT,null,null,3700,20000,null,null,null,null,null,null,null,null,null,62,KDAB 010453Z 00000KT 10SM SCT037 SCT200 17/15 A3014 RMK AO2 SLP205 T01670150 402330067,null
DAB,2023-12-01 5:53,61,59,93.12,0,0,0,30.12,1019.8,10,null,FEW,SCT,SCT,null,3700,4400,20000,null,null,null,null,null,null,null,null,61,KDAB 010553Z 00000KT 10SM FEW037 SCT044 SCT200 16/15 A3012 RMK AO2 SLP198 T01610150 10178 20150 56011,null
DAB,2023-12-01 6:53,61,60,96.51,0,0,0,30.1,1019.2,10,null,SCT,SCT,null,null,4400,20000,null,null,null,null,null,null,null,null,null,61,KDAB 010653Z 00000KT 10SM SCT044 SCT200 16/16 A3010 RMK AO2 SLP192 T01610156,null
DAB,2023-12-01 7:53,61,60,96.51,0,0,0,30.1,1019.1,10,null,SCT,SCT,null,null,4400,20000,null,null,null,null,null,null,null,null,null,61,KDAB 010753Z 00000KT 10SM SCT044 SCT200 16/16 A3010 RMK AO2 SLP191 T01610156,null
DAB,2023-12-01 8:53,61,61,100,0,0,0,30.1,1019.2,8,null,FEW,SCT,null,null,4400,20000,null,null,null,null,null,null,null,null,null,61,KDAB 010853Z 00000KT 8SM FEW044 SCT200 16/16 A3010 RMK AO2 SLP192 T01610161 55006,null
DAB,2023-12-01 9:53,60,60,100,0,0,0,30.1,1019.3,6,null,SCT,null,null,null,20000,null,null,null,BR,null,null,null,null,null,null,60,KDAB 010953Z 00000KT 6SM BR SCT200 16/16 A3010 RMK AO2 SLP193 T01560156,null
DAB,2023-12-01 10:53,59,59,100,0,0,0,30.11,1019.7,6,null,SCT,CLR,null,null,20000,null,null,null,BR,null,null,null,null,null,null,59,KDAB 011053Z COR 00000KT 6SM SCT200 CLR 15/15 A3011 RMK AO2 SLP197 T01500150,null
DAB,2023-12-01 11:53,61,61,100,0,0,0,30.13,1020.1,8,null,FEW,SCT,null,null,2600,20000,null,null,null,null,null,null,null,null,null,61,KDAB 011153Z 00000KT 8SM FEW026 SCT200 16/16 A3013 RMK AO2 SLP201 T01610161 10172 20150 53008,null
DAB,2023-12-01 12:53,64,64,100,0,0,0,30.13,1020.3,9,null,SCT,BKN,BKN,null,2600,13000,20000,null,null,null,null,null,null,null,null,64,KDAB 011253Z 00000KT 9SM SCT026 BKN130 BKN200 18/18 A3013 RMK AO2 SLP203 T01780178,null
DAB,2023-12-01 13:53,68,68,100,0,0,0,30.14,1020.5,8,null,FEW,BKN,null,null,3000,12000,null,null,null,null,null,null,null,null,null,68,KDAB 011353Z 00000KT 8SM FEW030 BKN120 20/20 A3014 RMK AO2 SLP205 T02000200,null
