station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
DEN,2023-12-01 0:53,24,14,65.17,80,6,0,29.79,1011,10,null,SCT,BKN,null,null,13000,22000,null,null,null,null,null,null,null,null,null,15.9,KDEN 010053Z 08006KT 10SM SCT130 BKN220 M04/M10 A2979 RMK AO2 SLP110 T10441100,null
DEN,2023-12-01 1:53,23,15,70.99,70,5,0,29.8,1011.7,10,null,BKN,BKN,null,null,15000,22000,null,null,null,null,null,null,null,null,null,15.71,KDEN 010153Z 07005KT 10SM BKN150 BKN220 M05/M09 A2980 RMK AO2 SLP117 T10501094,null
DEN,2023-12-01 2:53,23,17,77.44,100,6,0,29.8,1011.6,10,null,BKN,BKN,null,null,15000,22000,null,null,null,null,null,null,null,null,null,14.69,KDEN 010253Z 10006KT 10SM BKN150 BKN220 M05/M08 A2980 RMK AO2 SLP116 T10501083 50004,null
DEN,2023-12-01 3:53,23,16,74.15,110,7,0,29.79,1010.9,10,null,BKN,BKN,null,null,13000,22000,null,null,null,null,null,null,null,null,null,13.81,KDEN 010353Z 11007KT 10SM BKN130 BKN220 M05/M09 A2979 RMK AO2 SLP109 T10501089,null
DEN,2023-12-01 4:53,24,16,71.11,120,8,0,29.8,1010.2,10,null,BKN,BKN,null,null,10000,20000,null,null,null,null,null,null,null,null,null,14.26,KDEN 010453Z 12008KT 10SM BKN100 BKN200 M04/M09 A2980 RMK AO2 SLP102 T10441089,null
DEN,2023-12-01 5:53,25,15,65.3,120,7,0,29.79,1009.7,10,null,BKN,null,null,null,10000,null,null,null,null,null,null,null,null,null,null,16.25,KDEN 010553Z 12007KT 10SM BKN100 M04/M09 A2979 RMK AO2 SLP097 T10391094 11028 21056 58003,null
DEN,2023-12-01 6:53,26,17,68.32,210,6,0,29.78,1009.1,10,null,FEW,OVC,null,null,1500,10000,null,null,null,null,null,null,null,null,null,18.3,KDEN 010653Z 21006KT 10SM FEW015 OVC100 M03/M08 A2978 RMK AO2 SLP091 T10331083 400441067,null
DEN,2023-12-01 7:53,26,16,65.43,240,6,0,29.77,1008.4,10,null,BKN,null,null,null,9500,null,null,null,null,null,null,null,null,null,null,18.3,KDEN 010753Z 24006KT 10SM BKN095 M03/M09 A2977 RMK AO2 SLP084 T10331089,null
DEN,2023-12-01 8:53,24,17,74.26,250,8,0,29.76,1008.4,10,null,FEW,FEW,BKN,null,10000,12000,16000,null,null,null,null,null,null,null,null,14.26,KDEN 010853Z 25008KT 10SM FEW100 FEW120 BKN160 M04/M08 A2976 RMK AO2 SLP084 T10441083 57008,null
DEN,2023-12-01 9:53,22,18,84.33,260,9,0,29.75,1008.8,10,null,FEW,SCT,null,null,16000,22000,null,null,null,null,null,null,null,null,null,11.08,KDEN 010953Z 26009KT 10SM FEW160 SCT220 M06/M08 A2975 RMK AO2 SLP088 T10561078,null
DEN,2023-12-01 10:53,21,18,87.97,260,10,0,29.75,1009,10,null,FEW,FEW,BKN,null,300,12000,20000,null,null,null,null,null,null,null,null,9.17,KDEN 011053Z 26010KT 10SM FEW003 FEW120 BKN200 M06/M08 A2975 RMK AO2 SLP090 T10611078,null
DEN,2023-12-01 11:53,20,17,87.92,260,8,0,29.75,1010.3,10,null,FEW,SCT,BKN,null,300,12000,20000,null,null,null,null,null,null,null,null,9.33,KDEN 011153Z 26008KT 10SM FEW003 SCT120 BKN200 M07/M08 A2975 RMK AO2 SLP103 T10671083 11028 21067 55002,null
DEN,2023-12-01 12:53,20,17,87.92,260,8,0,29.75,1010.9,10,null,FEW,SCT,BKN,null,300,12000,20000,null,null,null,null,null,null,null,null,9.33,KDEN 011253Z 26008KT 10SM FEW003 SCT120 BKN200 M07/M08 A2975 RMK AO2 SLP109 T10671083,null
DEN,2023-12-01 13:53,21,18,87.97,260,8,0,29.76,1011.2,9,null,FEW,SCT,BKN,null,500,12000,20000,null,null,null,null,null,null,null,null,10.56,KDEN 011353Z 26008KT 9SM FEW005 SCT120 BKN200 M06/M08 A2976 RMK AO2 SLP112 VIRGA T10611078,null
DEN,2023-12-01 14:53,23,19,84.39,260,7,0,29.78,1011.3,8,null,FEW,SCT,BKN,null,500,12000,20000,null,null,null,null,null,null,null,null,13.81,KDEN 011453Z 26007KT 8SM FEW005 SCT120 BKN200 M05/M07 A2978 RMK AO2 SLP113 VIRGA T10501072 53006,null
DEN,2023-12-01 15:53,25,20,81.01,250,6,0,29.78,1011.2,10,null,SCT,BKN,null,null,12000,20000,null,null,null,null,null,null,null,null,null,17.1,KDEN 011553Z 25006KT 10SM SCT120 BKN200 M04/M07 A2978 RMK AO2 SLP112 T10391067,null
DEN,2023-12-01 16:53,28,20,71.56,260,5,0,29.79,1011.1,10,null,SCT,BKN,null,null,12000,20000,null,null,null,null,null,null,null,null,null,21.64,KDEN 011653Z 26005KT 10SM SCT120 BKN200 M02/M07 A2979 RMK AO2 SLP111 T10221067,null
