station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EGE,2023-12-01 0:56,36,26,66.69,300,5,0,29.74,1000.3,10,null,BKN,OVC,null,null,4100,6000,null,null,null,null,null,null,null,null,null,31.15,KEGE 010056Z 30005KT 10SM BKN041 OVC060 02/M03 A2974 RMK AO2 SLP003 T00221033,null
EGE,2023-12-01 1:56,34,25,69.28,300,6,0,29.76,1000.8,10,null,BKN,OVC,null,null,2900,4800,null,null,null,null,null,null,null,null,null,27.94,KEGE 010156Z AUTO 30006KT 10SM BKN029 OVC048 01/M04 A2976 RMK AO2 SLP008 T00111039,null
EGE,2023-12-01 2:56,33,28,81.63,270,4,0,29.77,1001.1,10,null,BKN,OVC,null,null,2300,4000,null,null,null,null,null,null,null,null,null,28.59,KEGE 010256Z AUTO 27004KT 10SM BKN023 OVC040 01/M02 A2977 RMK AO2 SLP011 T00061022 51012,null
EGE,2023-12-01 3:09,33.8,26.6,74.63,null,3,0,29.77,null,10,null,FEW,BKN,OVC,null,2100,4000,5000,null,null,null,null,null,null,null,null,30.75,KEGE 010309Z AUTO VRB03KT 10SM FEW021 BKN040 OVC050 01/M03 A2977 RMK AO2,null
EGE,2023-12-01 3:50,30.2,28.4,92.92,70,4,0,29.78,null,9,null,SCT,BKN,OVC,null,2300,2900,3900,null,null,null,null,null,null,null,null,25.32,KEGE 010350Z AUTO 07004KT 9SM SCT023 BKN029 OVC039 M01/M02 A2978 RMK AO2,null
EGE,2023-12-01 3:56,31,28,88.48,70,4,0,29.78,1001.3,10,null,BKN,BKN,OVC,null,2100,2900,3300,null,null,null,null,null,null,null,null,26.25,KEGE 010356Z AUTO 07004KT 10SM BKN021 BKN029 OVC033 M01/M02 A2978 RMK AO2 SLP013 T10061022,null
EGE,2023-12-01 4:56,30,28,92.15,70,4,0,29.79,1001.6,9,null,FEW,OVC,null,null,1500,2700,null,null,null,null,null,null,null,null,null,25.08,KEGE 010456Z AUTO 07004KT 9SM FEW015 OVC027 M01/M02 A2979 RMK AO2 SLP016 T10111022,null
EGE,2023-12-01 5:17,30.2,28.4,92.92,0,0,0,29.79,null,10,null,FEW,BKN,OVC,null,1700,3000,5000,null,null,null,null,null,null,null,null,30.2,KEGE 010517Z AUTO 00000KT 10SM FEW017 BKN030 OVC050 M01/M02 A2979 RMK AO2,null
EGE,2023-12-01 5:56,30,28,92.15,140,3,0,29.79,1001.8,9,null,BKN,BKN,OVC,null,3300,4200,5000,null,null,null,null,null,null,null,null,26.4,KEGE 010556Z AUTO 14003KT 9SM BKN033 BKN042 OVC050 M01/M02 A2979 RMK AO2 SLP018 T10111022 10033 21011 400441111 53005,null
EGE,2023-12-01 6:56,30,27,88.44,0,0,0,29.8,1002,10,null,OVC,null,null,null,5500,null,null,null,null,null,null,null,null,null,null,30,KEGE 010656Z AUTO 00000KT 10SM OVC055 M01/M03 A2980 RMK AO2 SLP020 T10111028,null
