station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
FSD,2023-12-01 0:56,30,18,60.53,10,7,0,29.95,1016,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22.34,KFSD 010056Z 01007KT 10SM CLR M01/M08 A2995 RMK AO2 SLP160 T10111078,null
FSD,2023-12-01 1:56,28,17,62.91,10,7,0,29.95,1016.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19.9,KFSD 010156Z 01007KT 10SM CLR M02/M08 A2995 RMK AO2 SLP161 T10221083,null
FSD,2023-12-01 2:56,24,15,68.08,10,7,0,29.96,1016.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15.03,KFSD 010256Z 01007KT 10SM CLR M04/M09 A2996 RMK AO2 SLP163 T10441094 51005,null
FSD,2023-12-01 3:56,20,13,73.84,0,0,0,29.97,1016.9,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,20,KFSD 010356Z 00000KT 10SM FEW250 M07/M11 A2997 RMK AO2 SLP169 T10671106,null
FSD,2023-12-01 4:56,20,14,77.16,0,0,0,29.98,1017.1,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,20,KFSD 010456Z 00000KT 10SM FEW250 M07/M10 A2998 RMK AO2 SLP171 T10671100,null
FSD,2023-12-01 5:56,17,11,76.87,20,6,0,29.98,1016.9,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,7.46,KFSD 010556Z 02006KT 10SM FEW250 M08/M12 A2998 RMK AO2 SLP169 T10831117 11011 21094 400611094 50007,null
FSD,2023-12-01 6:56,16,11,80.27,50,3,0,29.98,1016.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10.4,KFSD 010656Z AUTO 05003KT 10SM CLR M09/M12 A2998 RMK AO2 SLP169 T10891117,null
FSD,2023-12-01 7:56,17,10,73.52,0,0,0,29.98,1016.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17,KFSD 010756Z AUTO 00000KT 10SM CLR M08/M12 A2998 RMK AO2 SLP169 T10831122,null
FSD,2023-12-01 8:56,15,10,80.19,0,0,0,29.97,1016.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15,KFSD 010856Z AUTO 00000KT 10SM CLR M09/M12 A2997 RMK AO2 SLP168 T10941122 58002,null
FSD,2023-12-01 9:56,17,11,76.87,50,3,0,29.97,1016.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11.54,KFSD 010956Z AUTO 05003KT 10SM CLR M08/M12 A2997 RMK AO2 SLP167 T10831117,null
FSD,2023-12-01 10:56,15,10,80.19,50,4,0,29.96,1016.8,10,null,FEW,null,null,null,25000,null,null,null,null,T,null,null,null,null,null,7.57,KFSD 011056Z 05004KT 10SM FEW250 M09/M12 A2996 RMK AO2 SLP168 I1000 T10941122,null
FSD,2023-12-01 11:56,15,10,80.19,20,3,0,29.97,1017.2,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,T,null,null,null,9.25,KFSD 011156Z 02003KT 10SM FEW250 M09/M12 A2997 RMK AO2 SLP172 I6000 T10941122 11072 21111 55000,null
FSD,2023-12-01 12:56,15,10,80.19,60,3,0,29.98,1017.6,10,null,SCT,null,null,null,25000,null,null,null,null,T,null,null,null,null,null,9.25,KFSD 011256Z 06003KT 10SM SCT250 M09/M12 A2998 RMK AO2 SLP176 I1000 T10941122,null
FSD,2023-12-01 13:56,14,8,76.58,0,0,0,29.98,1017.7,10,null,SCT,null,null,null,25000,null,null,null,null,T,null,null,null,null,null,14,KFSD 011356Z 00000KT 10SM SCT250 M10/M13 A2998 RMK AO2 SLP177 I1000 T11001133,null
FSD,2023-12-01 14:56,20,13,73.84,50,4,0,29.98,1017.7,10,null,SCT,null,null,null,25000,null,null,null,null,null,T,null,null,null,null,13.41,KFSD 011456Z 05004KT 10SM SCT250 M07/M11 A2998 RMK AO2 SLP177 I3000 T10671106 51004,null
FSD,2023-12-01 15:56,26,19,74.46,70,3,0,29.99,1017.8,10,null,FEW,BKN,null,null,18000,25000,null,null,null,null,null,null,null,null,null,21.83,KFSD 011556Z 07003KT 10SM FEW180 BKN250 M03/M07 A2999 RMK AO2 SLP178 T10331072,null
FSD,2023-12-01 16:56,32,20,60.81,80,4,0,29.99,1017.7,10,null,FEW,SCT,BKN,null,13000,18000,25000,null,null,null,null,null,null,null,null,27.42,KFSD 011656Z 08004KT 10SM FEW130 SCT180 BKN250 00/M07 A2999 RMK AO2 SLP177 T00001067,null
