station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SAV,2023-12-01 0:53,54,40,58.99,40,3,0,30.21,1022.9,10,null,FEW,SCT,BKN,null,3000,16000,25000,null,null,null,null,null,null,null,null,54,KSAV 010053Z 04003KT 10SM FEW030 SCT160 BKN250 12/04 A3021 RMK AO2 SLP229 T01220044,null
SAV,2023-12-01 1:53,51,41,68.48,0,0,0,30.21,1022.9,10,null,SCT,SCT,null,null,16000,25000,null,null,null,null,null,null,null,null,null,51,KSAV 010153Z 00000KT 10SM SCT160 SCT250 11/05 A3021 RMK AO2 SLP229 T01060050,null
SAV,2023-12-01 2:53,53,43,68.71,80,4,0,30.2,1022.6,10,null,SCT,BKN,null,null,15000,25000,null,null,null,null,null,null,null,null,null,53,KSAV 010253Z 08004KT 10SM SCT150 BKN250 12/06 A3020 RMK AO2 SLP226 T01170061 58000,null
SAV,2023-12-01 3:53,52,44,74.07,70,4,0,30.19,1022.2,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,52,KSAV 010353Z 07004KT 10SM BKN250 11/07 A3019 RMK AO2 SLP222 T01110067,null
SAV,2023-12-01 4:53,51,45,79.84,80,5,0,30.17,1021.6,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,51,KSAV 010453Z 08005KT 10SM BKN250 11/07 A3017 RMK AO2 SLP216 LAST T01060072 401721006,null
SAV,2023-12-01 5:53,51,46,82.93,90,4,0,30.16,1021.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51,KSAV 010553Z AUTO 09004KT 10SM CLR 11/08 A3016 RMK AO2 SLP212 T01060078 10128 20100 58014,null
SAV,2023-12-01 6:53,46,44,92.68,60,3,0,30.15,1020.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44.69,KSAV 010653Z AUTO 06003KT 10SM CLR 08/07 A3015 RMK AO2 SLP209 T00780067,null
SAV,2023-12-01 7:53,46,44,92.68,340,3,0,30.15,1020.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44.69,KSAV 010753Z AUTO 34003KT 10SM CLR 08/07 A3015 RMK AO2 SLP208 T00780067,null
SAV,2023-12-01 8:53,46,43,89.2,360,3,0,30.15,1020.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44.69,KSAV 010853Z AUTO 36003KT 10SM CLR 08/06 A3015 RMK AO2 SLP207 T00780061 56004,null
SAV,2023-12-01 9:53,46,44,92.68,10,3,0,30.15,1020.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44.69,KSAV 010953Z AUTO 01003KT 10SM CLR 08/07 A3015 RMK AO2 SLP208 T00780067,null
SAV,2023-12-01 10:53,49,46,89.33,110,3,0,30.14,1020.5,10,null,FEW,BKN,null,null,12000,22000,null,null,null,null,null,null,null,null,null,48.12,KSAV 011053Z 11003KT 10SM FEW120 BKN220 09/08 A3014 RMK AO2 SLP205 T00940078,null
SAV,2023-12-01 11:53,50,47,89.37,140,3,0,30.13,1020.3,10,null,FEW,SCT,BKN,null,3000,19000,24000,null,null,null,null,null,null,null,null,50,KSAV 011153Z 14003KT 10SM FEW030 SCT190 BKN240 10/08 A3013 RMK AO2 SLP203 T01000083 10106 20072 58004,null
SAV,2023-12-01 12:53,53,50,89.51,0,0,0,30.13,1020.3,10,null,FEW,BKN,OVC,null,3000,18000,22000,null,null,null,null,null,null,null,null,53,KSAV 011253Z 00000KT 10SM FEW030 BKN180 OVC220 12/10 A3013 RMK AO2 SLP203 T01170100,null
SAV,2023-12-01 13:53,64,56,75.2,60,3,0,30.16,1021,10,null,FEW,SCT,OVC,null,4000,11000,21000,null,null,null,null,null,null,null,null,64,KSAV 011353Z 06003KT 10SM FEW040 SCT110 OVC210 18/13 A3016 RMK AO2 SLP210 T01780133,null
