station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
GSP,2023-12-01 0:53,46,29,51.24,160,5,0,30.17,1022,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,43.02,KGSP 010053Z 16005KT 10SM CLR 08/M02 A3017 RMK AO2 SLP220 T00781017,null
GSP,2023-12-01 1:53,46,28,49.18,200,4,0,30.18,1022.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,43.77,KGSP 010153Z 20004KT 10SM CLR 08/M02 A3018 RMK AO2 SLP221 T00781022,null
GSP,2023-12-01 2:53,43,28,55.14,200,4,0,30.18,1022,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40.27,KGSP 010253Z 20004KT 10SM CLR 06/M02 A3018 RMK AO2 SLP220 T00611022 55000,null
GSP,2023-12-01 3:53,42,29,59.69,200,4,0,30.19,1022.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39.1,KGSP 010353Z 20004KT 10SM CLR 06/M02 A3019 RMK AO2 SLP222 T00561017,null
GSP,2023-12-01 4:53,40,29,64.5,0,0,0,30.19,1022.4,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40,KGSP 010453Z AUTO 00000KT 10SM CLR 04/M02 A3019 RMK AO2 SLP224 T00441017 401611017,null
GSP,2023-12-01 5:53,39,29,67.06,0,0,0,30.18,1021.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39,KGSP 010553Z AUTO 00000KT 10SM CLR 04/M02 A3018 RMK AO2 SLP218 T00391017 10089 20033 58001,null
GSP,2023-12-01 6:53,36,29,75.46,0,0,0,30.18,1021.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36,KGSP 010653Z AUTO 00000KT 10SM CLR 02/M02 A3018 RMK AO2 SLP218 T00221017,null
GSP,2023-12-01 7:53,38,32,78.77,0,0,0,30.18,1022,10,null,SCT,null,null,null,3300,null,null,null,null,null,null,null,null,null,null,38,KGSP 010753Z AUTO 00000KT 10SM SCT033 03/00 A3018 RMK AO2 SLP220 T00330000,null
GSP,2023-12-01 8:53,40,34,78.94,10,3,0,30.18,1021.7,10,null,FEW,SCT,BKN,null,2700,3900,11000,null,null,null,null,null,null,null,null,37.83,KGSP 010853Z AUTO 01003KT 10SM FEW027 SCT039 BKN110 04/01 A3018 RMK AO2 SLP217 T00440011 58001,null
GSP,2023-12-01 9:53,43,34,70.3,0,0,0,30.16,1021,10,null,BKN,OVC,null,null,1900,4000,null,null,null,null,null,null,null,null,null,43,KGSP 010953Z AUTO 00000KT 10SM BKN019 OVC040 06/01 A3016 RMK AO2 SLP210 T00610011,null
GSP,2023-12-01 10:53,43,35,73.16,20,3,0,30.15,1020.8,10,null,BKN,OVC,null,null,1600,10000,null,null,null,null,null,null,null,null,null,41.26,KGSP 011053Z AUTO 02003KT 10SM BKN016 OVC100 06/02 A3015 RMK AO2 SLP208 T00610017,null
GSP,2023-12-01 11:02,44,34,67.66,0,0,0,30.15,null,10,null,SCT,BKN,OVC,null,1600,4500,10000,null,null,null,null,null,null,null,null,44,KGSP 011102Z 00000KT 10SM SCT016 BKN045 OVC100 07/01 A3015 RMK AO2 T00670011,null
GSP,2023-12-01 11:53,44,34,67.66,30,3,0,30.15,1020.9,10,null,BKN,OVC,null,null,2600,4300,null,null,null,null,null,null,null,null,null,42.41,KGSP 011153Z 03003KT 10SM BKN026 OVC043 07/01 A3015 RMK AO2 SLP209 T00670011 10072 20022 55008,null
GSP,2023-12-01 12:53,45,33,62.58,30,3,0,30.16,1021.2,10,null,OVC,null,null,null,2600,null,null,null,null,null,null,null,null,null,null,43.55,KGSP 011253Z 03003KT 10SM OVC026 07/01 A3016 RMK AO2 SLP212 T00720006,null
GSP,2023-12-01 13:53,46,37,70.64,20,4,T,30.16,1021.2,8,null,BKN,BKN,OVC,null,2500,3100,4900,null,#NAME?,null,null,null,null,null,null,43.77,KGSP 011353Z 02004KT 8SM -RA BKN025 BKN031 OVC049 08/03 A3016 RMK AO2 RAB32 SLP212 P0000 T00780028,null
GSP,2023-12-01 14:53,46,38,73.47,30,3,T,30.17,1021.7,5,null,BKN,null,null,null,1900,null,null,null,RA,null,null,null,null,null,null,44.69,KGSP 011453Z 03003KT 5SM RA BKN019 08/03 A3017 RMK AO2 RAE00B16 SLP217 P0000 60000 T00780033 53007,null
GSP,2023-12-01 15:34,45,40,82.51,0,0,0.06,30.17,null,4,null,OVC,null,null,null,1400,null,null,null,#NAME?,null,null,null,null,null,null,45,KGSP 011534Z 00000KT 4SM -RA OVC014 07/04 A3017 RMK AO2 P0006 T00720044,null
