station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
GUC,2023-12-01 0:56,35,22,58.7,0,0,0,29.74,1010.6,10,null,FEW,OVC,null,null,3900,4900,null,null,null,null,null,null,null,null,null,35,KGUC 010056Z AUTO 00000KT 10SM FEW039 OVC049 02/M06 A2974 RMK AO2 SLP106 T00171056 FZRANO,null
GUC,2023-12-01 1:56,33,22,63.59,240,6,0,29.74,1011.2,10,null,OVC,null,null,null,8000,null,null,null,null,null,null,null,null,null,null,26.73,KGUC 010156Z AUTO 24006KT 10SM OVC080 01/M06 A2974 RMK AO2 SLP112 T00061056 FZRANO,null
GUC,2023-12-01 2:56,32,24,72,240,6,0,29.75,1011.6,10,null,SCT,OVC,null,null,7500,9000,null,null,null,null,null,null,null,null,null,25.53,KGUC 010256Z AUTO 24006KT 10SM SCT075 OVC090 00/M04 A2975 RMK AO2 SLP116 T00001044 51009 FZRANO,null
GUC,2023-12-01 3:56,31,24,74.97,230,8,0,29.76,1011,10,null,OVC,null,null,null,8500,null,null,null,null,null,null,null,null,null,null,22.88,KGUC 010356Z AUTO 23008KT 10SM OVC085 M01/M04 A2976 RMK AO2 SLP110 T10061044 FZRANO,null
GUC,2023-12-01 4:56,31,23,71.89,220,10,0,29.76,1010,10,null,OVC,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,21.71,KGUC 010456Z AUTO 22010KT 10SM OVC110 M01/M05 A2976 RMK AO2 SLP100 T10061050 FZRANO,null
GUC,2023-12-01 5:56,30,22,71.78,220,8,0,29.77,1009.6,10,null,FEW,BKN,null,null,6000,10000,null,null,null,null,null,null,null,null,null,21.65,KGUC 010556Z AUTO 22008KT 10SM FEW060 BKN100 M01/M06 A2977 RMK AO2 SLP096 T10111056 10022 21011 400331150 53004 FZRANO,null
GUC,2023-12-01 6:56,29,22,74.77,220,7,0,29.78,1008.4,10,null,FEW,BKN,OVC,null,6000,9000,11000,null,null,null,null,null,null,null,null,21.12,KGUC 010656Z AUTO 22007KT 10SM FEW060 BKN090 OVC110 M02/M06 A2978 RMK AO2 SLP084 T10171056 FZRANO,null
GUC,2023-12-01 7:56,24,20,84.46,340,5,0,29.77,1008.9,10,null,BKN,null,null,null,9000,null,null,null,null,null,null,null,null,null,null,16.89,KGUC 010756Z AUTO 34005KT 10SM BKN090 M04/M07 A2977 RMK AO2 SLP089 T10441067 FZRANO,null
GUC,2023-12-01 8:56,22,19,88.02,360,5,0,29.76,1008.7,10,null,FEW,null,null,null,5000,null,null,null,null,null,null,null,null,null,null,14.52,KGUC 010856Z AUTO 36005KT 10SM FEW050 M06/M07 A2976 RMK AO2 SLP087 T10561072 58001 FZRANO,null
GUC,2023-12-01 9:32,21.2,19.4,92.63,360,3,T,29.77,null,2.5,null,FEW,BKN,OVC,null,1100,2800,4100,null,#NAME?,null,null,null,null,null,null,16.34,KGUC 010932Z AUTO 36003KT 2 1/2SM -SN BR FEW011 BKN028 OVC041 M06/M07 A2977 RMK AO2 SNB23 P0000 FZRANO,null
GUC,2023-12-01 9:40,21.2,19.4,92.63,40,3,T,29.77,null,7,null,FEW,BKN,OVC,null,900,2800,3900,null,#NAME?,null,null,null,null,null,null,16.34,KGUC 010940Z AUTO 04003KT 7SM -SN FEW009 BKN028 OVC039 M06/M07 A2977 RMK AO2 SNB23 P0000 FZRANO,null
GUC,2023-12-01 9:56,22,19,88.02,350,3,T,29.77,1008.9,9,null,FEW,BKN,OVC,null,900,2300,4600,null,#NAME?,null,null,null,null,null,null,17.26,KGUC 010956Z AUTO 35003KT 9SM -SN FEW009 BKN023 OVC046 M06/M07 A2977 RMK AO2 SNB23 SLP089 P0000 T10561072 FZRANO,null
GUC,2023-12-01 10:15,21.2,19.4,92.63,350,3,T,29.77,null,1.75,null,FEW,BKN,OVC,null,900,1800,2400,null,#NAME?,null,null,null,null,null,null,16.34,KGUC 011015Z AUTO 35003KT 1 3/4SM -SN BR FEW009 BKN018 OVC024 M06/M07 A2977 RMK AO2 P0000 FZRANO,null
GUC,2023-12-01 10:24,21.2,19.4,92.63,360,4,T,29.76,null,3,null,FEW,BKN,OVC,null,900,1600,2400,null,#NAME?,null,null,null,null,null,null,14.81,KGUC 011024Z AUTO 36004KT 3SM -SN BR FEW009 BKN016 OVC024 M06/M07 A2976 RMK AO2 P0000 FZRANO,null
GUC,2023-12-01 10:34,21.2,19.4,92.63,350,3,T,29.76,null,9,null,BKN,OVC,null,null,900,1500,null,null,#NAME?,null,null,null,null,null,null,16.34,KGUC 011034Z AUTO 35003KT 9SM -SN BKN009 OVC015 M06/M07 A2976 RMK AO2 CIG 007V012 P0000 FZRANO,null
GUC,2023-12-01 10:46,21.2,19.4,92.63,360,5,T,29.76,null,8,null,OVC,null,null,null,1000,null,null,null,#NAME?,null,null,null,null,null,null,13.57,KGUC 011046Z AUTO 36005KT 8SM -SN OVC010 M06/M07 A2976 RMK AO2 P0000 FZRANO,null
GUC,2023-12-01 10:56,22,20,91.87,350,4,T,29.76,1008.5,5,null,OVC,null,null,null,1000,null,null,null,#NAME?,null,null,null,null,null,null,15.74,KGUC 011056Z AUTO 35004KT 5SM -SN BR OVC010 M06/M07 A2976 RMK AO2 SLP085 P0000 T10561067 FZRANO,null
GUC,2023-12-01 11:16,23,21.2,92.69,0,0,T,29.76,null,1.75,null,OVC,null,null,null,1000,null,null,null,#NAME?,null,null,null,null,null,null,23,KGUC 011116Z AUTO 00000KT 1 3/4SM -SN BR OVC010 M05/M06 A2976 RMK AO2 P0000 FZRANO,null
GUC,2023-12-01 11:21,23,21.2,92.69,340,4,T,29.76,null,0.75,null,OVC,null,null,null,1000,null,null,null,#NAME?,null,null,null,null,null,null,16.91,KGUC 011121Z AUTO 34004KT 3/4SM -SN BR OVC010 M05/M06 A2976 RMK AO2 CIG 006V011 P0000 FZRANO,null
GUC,2023-12-01 11:36,23,21.2,92.69,0,0,T,29.76,null,0.75,null,BKN,OVC,null,null,800,1400,null,null,#NAME?,null,null,null,null,null,null,23,KGUC 011136Z AUTO 00000KT 3/4SM -SN BR BKN008 OVC014 M05/M06 A2976 RMK AO2 CIG 006V012 P0000 FZRANO,null
GUC,2023-12-01 11:41,23,21.2,92.69,0,0,T,29.76,null,1.25,null,BKN,OVC,null,null,800,1600,null,null,#NAME?,null,null,null,null,null,null,23,KGUC 011141Z AUTO 00000KT 1 1/4SM -SN BR BKN008 OVC016 M05/M06 A2976 RMK AO2 CIG 006V012 P0000 FZRANO,null
GUC,2023-12-01 11:50,23,21.2,92.69,0,0,T,29.76,null,2,null,FEW,BKN,OVC,null,600,1000,1600,null,#NAME?,null,null,null,null,null,null,23,KGUC 011150Z AUTO 00000KT 2SM -SN BR FEW006 BKN010 OVC016 M05/M06 A2976 RMK AO2 P0000 FZRANO,null
GUC,2023-12-01 11:56,24,22,91.94,0,0,T,29.76,1008.6,5,null,FEW,BKN,OVC,null,600,1000,1600,null,#NAME?,null,null,null,null,null,null,24,KGUC 011156Z AUTO 00000KT 5SM -SN BR FEW006 BKN010 OVC016 M04/M06 A2976 RMK AO2 SLP086 P0000 60000 T10441056 11011 21061 55002 FZRANO,null
GUC,2023-12-01 12:56,23,21,91.9,180,3,T,29.77,1009.1,10,null,BKN,OVC,null,null,1000,1400,null,null,null,null,null,null,null,null,null,18.4,KGUC 011256Z AUTO 18003KT 10SM BKN010 OVC014 M05/M06 A2977 RMK AO2 SNE22 CIG 009V012 SLP091 P0000 T10501061 FZRANO,null
GUC,2023-12-01 13:21,23,21.2,92.69,0,0,T,29.77,null,9,null,FEW,SCT,OVC,null,1400,2600,4700,null,#NAME?,null,null,null,null,null,null,23,KGUC 011321Z AUTO 00000KT 9SM -SN FEW014 SCT026 OVC047 M05/M06 A2977 RMK AO2 SNB06 P0000 FZRANO,null
GUC,2023-12-01 13:43,23,21.2,92.69,350,4,T,29.77,null,10,null,BKN,OVC,null,null,1400,4700,null,null,null,null,null,null,null,null,null,16.91,KGUC 011343Z AUTO 35004KT 10SM BKN014 OVC047 M05/M06 A2977 RMK AO2 SNB06E34 P0000 FZRANO,null
GUC,2023-12-01 13:56,23,21,91.9,350,4,T,29.78,1010,9,null,OVC,null,null,null,1400,null,null,null,null,null,null,null,null,null,null,16.91,KGUC 011356Z AUTO 35004KT 9SM OVC014 M05/M06 A2978 RMK AO2 SNB06E34 SLP100 P0000 T10501061 FZRANO,null
GUC,2023-12-01 14:56,24,21,88.13,0,0,0,29.79,1010.4,10,null,OVC,null,null,null,1400,null,null,null,null,null,null,null,null,null,null,24,KGUC 011456Z AUTO 00000KT 10SM OVC014 M04/M06 A2979 RMK AO2 SLP104 60000 T10441061 53008 FZRANO,null
GUC,2023-12-01 15:27,24.8,21.2,85.96,0,0,T,29.8,null,2.5,null,OVC,null,null,null,1600,null,null,null,#NAME?,null,null,null,null,null,null,24.8,KGUC 011527Z AUTO 00000KT 2 1/2SM -SN BR OVC016 M04/M06 A2980 RMK AO2 VIS 1 3/4V3 SNB11 P0000 FZRANO,null
GUC,2023-12-01 15:43,24.8,23,92.74,0,0,T,29.8,null,8,null,OVC,null,null,null,1600,null,null,null,null,null,null,null,null,null,null,24.8,KGUC 011543Z AUTO 00000KT 8SM OVC016 M04/M05 A2980 RMK AO2 SNB11E43 P0000 FZRANO,null
GUC,2023-12-01 15:56,26,23,88.23,0,0,T,29.8,1010.3,10,null,OVC,null,null,null,1600,null,null,null,null,null,null,null,null,null,null,26,KGUC 011556Z AUTO 00000KT 10SM OVC016 M03/M05 A2980 RMK AO2 SNB11E43 SLP103 P0000 T10331050 FZRANO,null
GUC,2023-12-01 16:56,29,23,77.98,0,0,0,29.81,1010.2,10,null,FEW,SCT,BKN,null,1600,5000,6500,null,null,null,null,null,null,null,null,29,KGUC 011656Z AUTO 00000KT 10SM FEW016 SCT050 BKN065 M02/M05 A2981 RMK AO2 SLP102 T10171050 FZRANO,null
GUC,2023-12-01 17:32,30.2,24.8,80.07,0,0,0.02,29.8,null,10,null,BKN,null,null,null,1600,null,null,null,null,null,null,null,null,null,null,30.2,KGUC 011732Z AUTO 00000KT 10SM BKN016 M01/M04 A2980 RMK AO2 P0002 FZRANO,null
GUC,2023-12-01 17:56,31,23,71.89,240,9,0.02,29.79,1009.2,10,null,FEW,null,null,null,1800,null,null,null,null,null,null,null,null,null,null,22.27,KGUC 011756Z AUTO 24009KT 10SM FEW018 M01/M05 A2979 RMK AO2 SLP092 P0002 60002 T10061050 11006 21050 58001 FZRANO,null
GUC,2023-12-01 18:56,32,19,58.27,230,11,0,29.75,1007.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22.47,KGUC 011856Z AUTO 23011KT 10SM CLR 00/M07 A2975 RMK AO2 SLP078 T00001072 FZRANO,null
