station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
HDN,2023-12-01 0:56,26,26,100,250,3,T,29.78,1011.9,10,null,FEW,OVC,null,null,1000,2600,null,null,null,null,null,null,null,null,null,21.83,KHDN 010056Z AUTO 25003KT 10SM FEW010 OVC026 M03/M03 A2978 RMK AO2 SNE10 SLP119 P0000 T10331033 FZRANO $,null
HDN,2023-12-01 1:56,26,26,100,250,3,0,29.78,1012,10,null,OVC,null,null,null,2600,null,null,null,null,null,null,null,null,null,null,21.83,KHDN 010156Z AUTO 25003KT 10SM OVC026 M03/M03 A2978 RMK AO2 SLP120 T10331033 FZRANO $,null
HDN,2023-12-01 2:36,26.6,24.8,92.8,280,3,T,29.79,null,10,null,OVC,null,null,null,3000,null,null,null,null,null,null,null,null,null,null,22.52,KHDN 010236Z AUTO 28003KT 10SM OVC030 M03/M04 A2979 RMK AO2 UPB17E30 P0000 FZRANO $,null
HDN,2023-12-01 2:56,26,25,95.93,330,5,T,29.79,1012,4,null,OVC,null,null,null,3400,null,null,null,#NAME?,null,null,null,null,null,null,19.27,KHDN 010256Z AUTO 33005KT 4SM -SN BR OVC034 M03/M04 A2979 RMK AO2 UPB17E30B52E54SNB54 SLP120 P0000 60000 T10331039 53005 FZRANO $,null
HDN,2023-12-01 3:56,25,24,95.91,280,4,T,29.8,1012.4,5,null,BKN,OVC,null,null,3800,4800,null,null,#NAME?,null,null,null,null,null,null,19.25,KHDN 010356Z AUTO 28004KT 5SM -SN BR BKN038 OVC048 M04/M04 A2980 RMK AO2 SLP124 P0000 T10391044 FZRANO $,null
HDN,2023-12-01 4:26,24.8,24.8,100,250,4,T,29.8,null,2.5,null,SCT,SCT,OVC,null,2100,2700,3600,null,#NAME?,null,null,null,null,null,null,19.01,KHDN 010426Z AUTO 25004KT 2 1/2SM -SN BR SCT021 SCT027 OVC036 M04/M04 A2980 RMK AO2 VIS 1 3/4V3 P0000 FZRANO $,null
HDN,2023-12-01 4:33,24.8,24.8,100,250,4,T,29.8,null,2.5,null,BKN,BKN,OVC,null,2100,2700,3600,null,#NAME?,null,null,null,null,null,null,19.01,KHDN 010433Z AUTO 25004KT 2 1/2SM -SN BR BKN021 BKN027 OVC036 M04/M04 A2980 RMK AO2 P0000 FZRANO $,null
HDN,2023-12-01 4:42,24.8,24.8,100,210,4,T,29.8,null,4,null,FEW,BKN,OVC,null,2000,2600,3800,null,#NAME?,null,null,null,null,null,null,19.01,KHDN 010442Z AUTO 21004KT 4SM -SN BR FEW020 BKN026 OVC038 M04/M04 A2980 RMK AO2 P0000 FZRANO $,null
HDN,2023-12-01 4:56,24,23,95.89,210,4,T,29.81,1012.6,4,null,BKN,OVC,null,null,2400,4300,null,null,#NAME?,null,null,null,null,null,null,18.08,KHDN 010456Z AUTO 21004KT 4SM -SN BR BKN024 OVC043 M04/M05 A2981 RMK AO2 SLP126 P0000 T10441050 FZRANO $,null
HDN,2023-12-01 5:08,23,23,100,250,5,T,29.81,null,9,null,SCT,OVC,null,null,2400,4300,null,null,#NAME?,null,null,null,null,null,null,15.71,KHDN 010508Z AUTO 25005KT 9SM -SN SCT024 OVC043 M05/M05 A2981 RMK AO2 P0000 FZRANO $,null
HDN,2023-12-01 5:56,24,24,100,280,4,T,29.82,1012.4,2,null,FEW,BKN,OVC,null,1100,2200,4900,null,#NAME?,null,null,null,null,null,null,18.08,KHDN 010556Z AUTO 28004KT 2SM -SN BR FEW011 BKN022 OVC049 M04/M04 A2982 RMK AO2 SLP124 P0000 60000 T10441044 11033 21050 400001106 51008 FZRANO $,null
HDN,2023-12-01 6:03,24.8,24.8,100,290,4,T,29.82,null,1.25,null,SCT,BKN,OVC,null,1100,1600,4900,null,#NAME?,null,null,null,null,null,null,19.01,KHDN 010603Z AUTO 29004KT 1 1/4SM -SN BR SCT011 BKN016 OVC049 M04/M04 A2982 RMK AO2 P0000 FZRANO $,null
