station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
HNL,2023-12-01 0:53,78,73,84.63,110,12,0,29.9,1012.5,10,null,FEW,FEW,SCT,OVC,2200,2800,6500,19000,null,null,null,null,null,null,null,78,PHNL 010053Z 11012KT 10SM FEW022 FEW028 SCT065 OVC190 26/23 A2990 RMK AO2 SLP125 T02560228,null
HNL,2023-12-01 1:53,78,74,87.53,120,7,0,29.91,1012.6,10,null,FEW,FEW,BKN,null,2000,3100,20000,null,null,null,null,null,null,null,null,78,PHNL 010153Z 12007KT 10SM FEW020 FEW031 BKN200 26/23 A2991 RMK AO2 SLP126 VCSH NW T02560233,null
HNL,2023-12-01 2:53,78,74,87.53,0,0,0,29.92,1013.2,10,null,FEW,SCT,BKN,null,2000,6000,20000,null,null,null,null,null,null,null,null,78,PHNL 010253Z 00000KT 10SM FEW020 SCT060 BKN200 26/23 A2992 RMK AO2 SLP132 T02560233 53001,null
HNL,2023-12-01 3:53,77,74,90.48,250,3,0,29.94,1013.8,10,null,FEW,SCT,BKN,null,2000,4500,13000,null,null,null,null,null,null,null,null,77,PHNL 010353Z 25003KT 10SM FEW020 SCT045 BKN130 25/23 A2994 RMK AO2 SLP138 T02500233,null
HNL,2023-12-01 4:53,76,75,96.72,0,0,0,29.95,1014.2,10,null,FEW,BKN,BKN,null,5000,13000,23000,null,null,null,null,null,null,null,null,76,PHNL 010453Z 00000KT 10SM FEW050 BKN130 BKN230 24/24 A2995 RMK AO2 SLP142 T02440239,null
HNL,2023-12-01 5:53,74,71,90.36,0,0,0,29.96,1014.6,10,null,FEW,SCT,null,null,12000,25000,null,null,null,null,null,null,null,null,null,74,PHNL 010553Z 00000KT 10SM FEW120 SCT250 23/22 A2996 RMK AO2 SLP146 T02330217 10261 20233 51014,null
HNL,2023-12-01 6:53,74,70,87.34,0,0,0,29.97,1014.9,10,null,FEW,SCT,BKN,null,2500,13000,23000,null,null,null,null,null,null,null,null,74,PHNL 010653Z 00000KT 10SM FEW025 SCT130 BKN230 23/21 A2997 RMK AO2 SLP149 T02330211,null
HNL,2023-12-01 7:53,73,70,90.32,340,4,0,29.99,1015.5,10,null,FEW,BKN,null,null,2500,13000,null,null,null,null,null,null,null,null,null,73,PHNL 010753Z 34004KT 10SM FEW025 BKN130 23/21 A2999 RMK AO2 SLP155 T02280211,null
HNL,2023-12-01 8:53,73,70,90.32,350,4,0,29.98,1015,10,null,FEW,SCT,null,null,2500,22000,null,null,null,null,null,null,null,null,null,73,PHNL 010853Z 35004KT 10SM FEW025 SCT220 23/21 A2998 RMK AO2 SLP150 T02280211 50004,null
HNL,2023-12-01 9:53,73,72,96.68,330,7,0,29.99,1015.4,10,null,FEW,SCT,null,null,2500,13500,null,null,null,null,null,null,null,null,null,73,PHNL 010953Z 33007KT 10SM FEW025 SCT135 23/22 A2999 RMK AO2 SLP154 T02280222 402610206,null
HNL,2023-12-01 10:53,75,73,93.51,330,6,0,29.99,1015.4,10,null,FEW,SCT,null,null,2000,12500,null,null,null,null,null,null,null,null,null,75,PHNL 011053Z 33006KT 10SM FEW020 SCT125 24/23 A2999 RMK AO2 SLP154 T02390228,null
HNL,2023-12-01 11:27,74,72,93.48,310,12,T,30,null,10,19,SCT,BKN,OVC,null,2000,2700,6500,null,#NAME?,null,null,null,null,null,null,74,PHNL 011127Z 31012G19KT 10SM -RA SCT020 BKN027 OVC065 23/22 A3000 RMK AO2 RAB06 P0000 T02330222,null
HNL,2023-12-01 11:37,73,68,84.34,310,14,T,30.01,null,10,21,SCT,BKN,OVC,null,2000,3700,4600,null,#NAME?,null,null,null,null,null,null,73,PHNL 011137Z 31014G21KT 10SM -RA SCT020 BKN037 OVC046 23/20 A3001 RMK AO2 RAB06 P0000 T02280200,null
HNL,2023-12-01 11:53,71,66,84.22,340,14,0.06,30.02,1016.6,7,32,FEW,SCT,OVC,null,2800,4700,6000,null,RA,null,null,null,32,320,2023-12-01 11:45,71,PHNL 011153Z 34014G32KT 7SM RA FEW028 SCT047 OVC060 22/19 A3002 RMK AO2 PK WND 32032/1145 RAB06 CIG 049 RWY04R SLP166 P0006 60006 70006 T02170189 10239 20217 53017,null
HNL,2023-12-01 12:53,69,67,93.35,10,10,0.04,29.99,1015.6,10,null,BKN,OVC,null,null,7000,8500,null,null,#NAME?,null,null,null,null,null,null,69,PHNL 011253Z 01010KT 10SM -RA BKN070 OVC085 21/19 A2999 RMK AO2 SLP156 P0004 T02060194,null
HNL,2023-12-01 13:53,69,66,90.17,20,6,0.05,30.02,1016.4,9,null,OVC,null,null,null,8500,null,null,null,RA,null,null,null,null,null,null,69,PHNL 011353Z 02006KT 9SM RA OVC085 21/19 A3002 RMK AO2 SLP164 P0005 T02060189,null
HNL,2023-12-01 14:53,69,66,90.17,300,3,0.02,30.01,1016.1,10,null,OVC,null,null,null,9500,null,null,null,#NAME?,null,null,null,null,null,null,69,PHNL 011453Z 30003KT 10SM -RA OVC095 21/19 A3001 RMK AO2 SLP161 P0002 60011 T02060189 56005,null
HNL,2023-12-01 15:53,69,66,90.17,50,7,0.02,29.98,1015.2,10,null,SCT,BKN,null,null,7500,10000,null,null,#NAME?,null,null,null,null,null,null,69,PHNL 011553Z 05007KT 10SM -RA SCT075 BKN100 21/19 A2998 RMK AO2 SLP152 P0002 T02060189,null
HNL,2023-12-01 16:53,71,66,84.22,280,4,T,29.97,1014.9,10,null,BKN,null,null,null,10000,null,null,null,#NAME?,null,null,null,null,null,null,71,PHNL 011653Z 28004KT 10SM -RA BKN100 22/19 A2997 RMK AO2 RAE11B49 SLP149 P0000 T02170189,null
HNL,2023-12-01 17:53,69,67,93.35,50,4,0.01,30.01,1016.3,10,null,SCT,BKN,OVC,null,7000,9000,11000,null,#NAME?,null,null,null,null,null,null,69,PHNL 011753Z 05004KT 10SM -RA SCT070 BKN090 OVC110 21/19 A3001 RMK AO2 RAE1654B24 SLP163 P0001 60014 T02060194 10217 20200 53002,null
HNL,2023-12-01 18:53,69,68,96.62,0,0,0.02,30.02,1016.4,10,null,FEW,BKN,null,null,7500,10000,null,null,#NAME?,null,null,null,null,null,null,69,PHNL 011853Z 00000KT 10SM -RA FEW075 BKN100 21/20 A3002 RMK AO2 SLP164 P0002 T02060200,null
HNL,2023-12-01 19:53,69,68,96.62,300,3,0.04,30.06,1018,10,null,SCT,BKN,null,null,8000,11000,null,null,#NAME?,null,null,null,null,null,null,69,PHNL 011953Z 30003KT 10SM -RA SCT080 BKN110 21/20 A3006 RMK AO2 SLP180 P0004 T02060200,null
HNL,2023-12-01 20:53,69,68,96.62,30,6,0.04,30.04,1017.1,10,null,BKN,null,null,null,11000,null,null,null,#NAME?,null,null,null,null,null,null,69,PHNL 012053Z 03006KT 10SM -RA BKN110 21/20 A3004 RMK AO2 PRESFR SLP171 P0004 60010 T02060200 50008,null
HNL,2023-12-01 21:53,70,70,100,0,0,0.01,30,1015.7,10,null,BKN,null,null,null,12000,null,null,null,#NAME?,null,null,null,null,null,null,70,PHNL 012153Z 00000KT 10SM -RA BKN120 21/21 A3000 RMK AO2 SLP157 P0001 T02110211,null
HNL,2023-12-01 22:53,70,69,96.64,340,4,0.01,29.98,1015,10,null,BKN,null,null,null,12000,null,null,null,#NAME?,null,null,null,null,null,null,70,PHNL 012253Z 34004KT 10SM -RA BKN120 21/21 A2998 RMK AO2 SLP150 P0001 T02110206,null
HNL,2023-12-01 23:53,71,70,96.65,80,3,0.02,29.95,1014.1,10,null,BKN,null,null,null,12000,null,null,null,#NAME?,null,null,null,null,null,null,71,PHNL 012353Z 08003KT 10SM -RA BKN120 22/21 A2995 RMK AO2 SLP141 P0002 60014 T02170211 10222 20206 56030,null
HNL,2023-12-02 0:53,72,71,96.66,330,5,0.01,29.94,1013.8,10,null,FEW,BKN,null,null,4100,11000,null,null,null,null,null,null,null,null,null,72,PHNL 020053Z 33005KT 10SM FEW041 BKN110 22/22 A2994 RMK AO2 RAE27 SLP138 P0001 T02220217,null
HNL,2023-12-02 1:53,73,71,93.45,360,5,0,29.94,1013.7,10,null,FEW,BKN,null,null,3500,15000,null,null,null,null,null,null,null,null,null,73,PHNL 020153Z 36005KT 10SM FEW035 BKN150 23/22 A2994 RMK AO2 SLP137 T02280217,null
HNL,2023-12-02 2:53,73,70,90.32,310,5,0,29.96,1014.3,10,null,BKN,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,73,PHNL 020253Z 31005KT 10SM BKN110 23/21 A2996 RMK AO2 SLP143 60001 T02280211 53002,null
HNL,2023-12-02 3:53,72,69,90.28,10,3,0,29.96,1014.3,10,null,BKN,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,72,PHNL 020353Z 01003KT 10SM BKN110 22/21 A2996 RMK AO2 SLP143 T02220206,null
HNL,2023-12-02 4:53,71,70,96.65,100,6,T,29.95,1014,10,null,BKN,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,71,PHNL 020453Z 10006KT 10SM BKN110 22/21 A2995 RMK AO2 RAB0354E08 SLP140 P0000 T02170211,null
HNL,2023-12-02 5:53,70,70,100,0,0,T,29.93,1013.6,10,null,BKN,null,null,null,11000,null,null,null,null,null,null,null,null,null,null,70,PHNL 020553Z 00000KT 10SM BKN110 21/21 A2993 RMK AO2 RAB35E50 SLP136 P0000 60001 T02110211 10228 20211 58007,null
HNL,2023-12-02 6:53,70,69,96.64,300,7,0,29.94,1013.7,10,null,BKN,null,null,null,17000,null,null,null,null,null,null,null,null,null,null,70,PHNL 020653Z 30007KT 10SM BKN170 21/21 A2994 RMK AO2 SLP137 T02110206,null
HNL,2023-12-02 7:53,72,70,93.43,0,0,0,29.96,1014.6,10,null,BKN,null,null,null,18000,null,null,null,null,null,null,null,null,null,null,72,PHNL 020753Z 00000KT 10SM BKN180 22/21 A2996 RMK AO2 SLP146 T02220211,null
HNL,2023-12-02 8:53,70,68,93.37,0,0,0,29.96,1014.6,10,null,BKN,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,70,PHNL 020853Z 00000KT 10SM BKN200 21/20 A2996 RMK AO2 SLP146 T02110200 50010,null
HNL,2023-12-02 9:53,70,68,93.37,310,3,0,29.95,1014.2,10,null,BKN,null,null,null,20000,null,null,null,null,null,null,null,null,null,null,70,PHNL 020953Z 31003KT 10SM BKN200 21/20 A2995 RMK AO2 SLP142 T02110200 402390200,null
HNL,2023-12-02 10:53,69,68,96.62,340,5,0,29.95,1014,10,null,FEW,SCT,null,null,2500,20000,null,null,null,null,null,null,null,null,null,69,PHNL 021053Z 34005KT 10SM FEW025 SCT200 21/20 A2995 RMK AO2 SLP140 T02060200,null
HNL,2023-12-02 11:53,69,69,100,330,3,0,29.93,1013.4,10,null,FEW,SCT,null,null,2500,20000,null,null,null,null,null,null,null,null,null,69,PHNL 021153Z 33003KT 10SM FEW025 SCT200 21/21 A2993 RMK AO2 SLP134 70029 T02060206 10239 20200 58012,null
