station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
IAH,2023-12-01 0:53,66,66,100,120,6,T,29.73,1006.8,10,null,BKN,BKN,OVC,null,500,1000,1600,null,null,null,null,null,null,null,null,66,KIAH 010053Z 12006KT 10SM BKN005 BKN010 OVC016 19/19 A2973 RMK AO2 RAE05B27E45 SLP068 P0000 T01890189,null
IAH,2023-12-01 1:07,66,66,100,120,6,0,29.73,null,7,null,FEW,BKN,BKN,OVC,500,1400,6500,25000,null,null,null,null,null,null,null,66,KIAH 010107Z 12006KT 7SM FEW005 BKN014 BKN065 OVC250 19/19 A2973 RMK AO2 T01890189,null
IAH,2023-12-01 1:43,65,65,100,0,0,0,29.75,null,7,null,FEW,BKN,OVC,null,500,1700,25000,null,null,null,null,null,null,null,null,65,KIAH 010143Z 00000KT 7SM FEW005 BKN017 OVC250 18/18 A2975 RMK AO2 T01830183,null
IAH,2023-12-01 1:53,65,65,100,120,3,0,29.75,1007.2,7,null,BKN,OVC,null,null,1700,25000,null,null,null,null,null,null,null,null,null,65,KIAH 010153Z 12003KT 7SM BKN017 OVC250 18/18 A2975 RMK AO2 SLP072 T01830183,null
IAH,2023-12-01 2:53,64,64,100,140,3,0,29.75,1007.4,7,null,SCT,BKN,null,null,1500,25000,null,null,null,null,null,null,null,null,null,64,KIAH 010253Z 14003KT 7SM SCT015 BKN250 18/18 A2975 RMK AO2 SLP074 60000 T01780178 51009,null
IAH,2023-12-01 3:45,62,62,100,0,0,0,29.78,null,4,null,BKN,BKN,null,null,1500,25000,null,null,BR BCFG,null,null,null,null,null,null,62,KIAH 010345Z 00000KT 4SM BR BCFG BKN015 BKN250 17/17 A2978 RMK AO2 BKN015 V SCT T01670167,null
IAH,2023-12-01 3:53,63,63,100,0,0,0,29.78,1008.4,4,null,BKN,BKN,null,null,1500,25000,null,null,BR BCFG,null,null,null,null,null,null,63,KIAH 010353Z 00000KT 4SM BR BCFG BKN015 BKN250 17/17 A2978 RMK AO2 SLP084 BKN015 V SCT T01720172,null
IAH,2023-12-01 4:26,63,63,100,0,0,0,29.79,null,5,null,OVC,null,null,null,1200,null,null,null,BR,null,null,null,null,null,null,63,KIAH 010426Z 00000KT 5SM BR OVC012 17/17 A2979 RMK AO2 T01720172,null
IAH,2023-12-01 4:53,65,65,100,0,0,0,29.8,1008.9,6,null,OVC,null,null,null,1100,null,null,null,BR,null,null,null,null,null,null,65,KIAH 010453Z 00000KT 6SM BR OVC011 18/18 A2980 RMK AO2 SLP089 T01830183,null
IAH,2023-12-01 5:40,69,69,100,250,7,0,29.81,null,7,null,OVC,null,null,null,900,null,null,null,null,null,null,null,null,null,null,69,KIAH 010540Z 25007KT 7SM OVC009 21/21 A2981 RMK AO2 T02060206,null
IAH,2023-12-01 5:53,69,69,100,240,10,0,29.8,1009.2,7,16,OVC,null,null,null,900,null,null,null,null,null,null,null,null,null,null,69,KIAH 010553Z 24010G16KT 7SM OVC009 21/21 A2980 RMK AO2 SLP092 60000 T02060206 10206 20161 402110144 51018,null
IAH,2023-12-01 6:53,70,69,96.64,240,7,0,29.81,1009.5,6,null,OVC,null,null,null,700,null,null,null,BR,null,null,null,null,null,null,70,KIAH 010653Z 24007KT 6SM BR OVC007 21/21 A2981 RMK AO2 SLP095 T02110206,null
IAH,2023-12-01 7:53,70,69,96.64,250,4,0,29.8,1009.2,6,null,OVC,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,70,KIAH 010753Z 25004KT 6SM BR OVC006 21/21 A2980 RMK AO2 SLP092 T02110206,null
IAH,2023-12-01 8:53,70,69,96.64,240,4,0,29.81,1009.3,5,null,OVC,null,null,null,900,null,null,null,BR,null,null,null,null,null,null,70,KIAH 010853Z 24004KT 5SM BR OVC009 21/21 A2981 RMK AO2 SLP093 T02110206 51001,null
IAH,2023-12-01 9:53,70,69,96.64,260,3,0,29.8,1008.9,5,null,OVC,null,null,null,900,null,null,null,BR,null,null,null,null,null,null,70,KIAH 010953Z 26003KT 5SM BR OVC009 21/21 A2980 RMK AO2 SLP089 T02110206,null
IAH,2023-12-01 10:53,69,68,96.62,260,4,0,29.81,1009.6,5,null,BKN,OVC,null,null,700,1300,null,null,BR,null,null,null,null,null,null,69,KIAH 011053Z 26004KT 5SM BR BKN007 OVC013 21/20 A2981 RMK AO2 SLP096 T02060200,null
IAH,2023-12-01 11:53,68,67,96.61,0,0,0,29.83,1010,5,null,BKN,null,null,null,800,null,null,null,BR,null,null,null,null,null,null,68,KIAH 011153Z 00000KT 5SM BR BKN008 20/19 A2983 RMK AO2 SLP100 70051 T02000194 10211 20200 53007,null
IAH,2023-12-01 12:53,67,66,96.59,160,4,0,29.84,1010.4,5,null,BKN,null,null,null,800,null,null,null,BR,null,null,null,null,null,null,67,KIAH 011253Z 16004KT 5SM BR BKN008 19/19 A2984 RMK AO2 SLP104 T01940189 $,null
IAH,2023-12-01 13:16,68,67,96.61,0,0,0,29.85,null,2.5,null,OVC,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,68,KIAH 011316Z 00000KT 2 1/2SM BR OVC005 20/19 A2985 RMK AO2 T02000194 $,null
IAH,2023-12-01 13:53,69,68,96.62,340,5,0,29.85,1010.8,3,null,OVC,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,69,KIAH 011353Z 34005KT 3SM BR OVC006 21/20 A2985 RMK AO2 SLP108 T02060200 $,null
IAH,2023-12-01 14:10,69,68,96.62,330,3,0,29.86,null,4,null,BKN,BKN,null,null,800,4600,null,null,BR,null,null,null,null,null,null,69,KIAH 011410Z 33003KT 4SM BR BKN008 BKN046 21/20 A2986 RMK AO2 T02060200 $,null
