station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ICT,2023-12-01 0:53,44,43,96.24,10,11,0.14,29.66,1004.9,9,null,OVC,null,null,null,500,null,null,null,null,null,null,null,null,null,null,37.63,KICT 010053Z 01011KT 9SM OVC005 07/06 A2966 RMK AO2 RAE42 SLP049 P0014 T00670061,null
ICT,2023-12-01 1:40,44,43,96.24,20,9,0,29.67,null,10,null,OVC,null,null,null,400,null,null,null,null,null,null,null,null,null,null,38.44,KICT 010140Z 02009KT 10SM OVC004 07/06 A2967 RMK AO2 T00670061,null
ICT,2023-12-01 1:53,44,43,96.24,30,10,0,29.68,1005.5,10,null,OVC,null,null,null,400,null,null,null,null,null,null,null,null,null,null,38.02,KICT 010153Z 03010KT 10SM OVC004 07/06 A2968 RMK AO2 SLP055 T00670061,null
ICT,2023-12-01 2:22,44,43,96.24,360,10,0,29.69,null,10,null,OVC,null,null,null,500,null,null,null,null,null,null,null,null,null,null,38.02,KICT 010222Z 36010KT 10SM OVC005 07/06 A2969 RMK AO2 T00670061,null
ICT,2023-12-01 2:53,44,42,92.61,10,11,T,29.69,1005.6,9,null,OVC,null,null,null,500,null,null,null,#NAME?,null,null,null,null,null,null,37.63,KICT 010253Z 01011KT 9SM -RA OVC005 07/06 A2969 RMK AO2 RAB47 SLP056 P0000 60014 T00670056 55007,null
ICT,2023-12-01 3:47,39.2,39.2,100,10,16,0.05,29.71,null,2.5,22,OVC,null,null,null,700,null,null,null,RA BR,null,null,null,null,null,null,29.8,KICT 010347Z 01016G22KT 2 1/2SM RA BR OVC007 04/04 A2971 RMK AO2 P0005,null
ICT,2023-12-01 3:53,40,38,92.49,10,13,0.07,29.71,1006.2,2.5,null,OVC,null,null,null,700,null,null,null,RA BR,null,null,null,null,null,null,31.82,KICT 010353Z 01013KT 2 1/2SM RA BR OVC007 04/03 A2971 RMK AO2 SLP062 P0007 T00440033,null
ICT,2023-12-01 4:01,40,38,92.49,10,11,0.02,29.71,null,3,21,OVC,null,null,null,800,null,null,null,RA BR,null,null,null,null,null,null,32.58,KICT 010401Z 01011G21KT 3SM RA BR OVC008 04/03 A2971 RMK AO2 P0002 T00440033,null
ICT,2023-12-01 4:53,39,38,96.16,10,13,0.12,29.7,1005.9,6,null,OVC,null,null,null,900,null,null,null,#NAME?,null,null,null,null,null,null,30.54,KICT 010453Z 01013KT 6SM -RA BR OVC009 04/03 A2970 RMK AO2 CIG 006V013 SLP059 P0012 T00390033,null
ICT,2023-12-01 5:35,39,37,92.45,20,18,0.01,29.68,null,10,26,OVC,null,null,null,1000,null,null,null,null,null,null,null,27,20,2023-12-01 5:18,28.96,KICT 010535Z 02018G26KT 10SM OVC010 04/03 A2968 RMK AO2 PK WND 02027/0518 RAE34 CIG 007V015 P0001 T00390028,null
