station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
IND,2023-12-01 0:54,51,33,49.96,210,10,T,29.93,1013.9,10,null,OVC,null,null,null,4600,null,null,null,null,null,null,null,null,null,null,51,KIND 010054Z 21010KT 10SM OVC046 11/01 A2993 RMK AO2 RAB24E53 SLP139 P0000 T01060006,null
IND,2023-12-01 1:54,51,32,47.99,210,7,0,29.95,1014.3,10,null,OVC,null,null,null,4600,null,null,null,null,null,null,null,null,null,null,51,KIND 010154Z 21007KT 10SM OVC046 11/00 A2995 RMK AO2 SLP143 T01060000,null
IND,2023-12-01 2:54,49,33,53.82,230,5,0,29.95,1014.2,10,null,OVC,null,null,null,4600,null,null,null,null,null,null,null,null,null,null,46.58,KIND 010254Z 23005KT 10SM OVC046 09/01 A2995 RMK AO2 SLP142 60000 T00940006 50005,null
IND,2023-12-01 3:54,50,32,49.81,170,5,0,29.93,1013.8,10,null,OVC,null,null,null,5000,null,null,null,null,null,null,null,null,null,null,50,KIND 010354Z 17005KT 10SM OVC050 10/00 A2993 RMK AO2 SLP138 T01000000,null
IND,2023-12-01 4:54,50,32,49.81,170,6,0,29.93,1013.5,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,50,KIND 010454Z 17006KT 10SM OVC060 10/00 A2993 RMK AO2 SLP135 T01000000 401440011,null
IND,2023-12-01 5:54,50,32,49.81,160,8,0,29.93,1013.5,10,null,OVC,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,50,KIND 010554Z 16008KT 10SM OVC060 10/00 A2993 RMK AO2 SLP135 60000 T01000000 10111 20094 56005,null
IND,2023-12-01 6:54,50,32,49.81,140,8,0,29.9,1012.4,10,null,OVC,null,null,null,7000,null,null,null,null,null,null,null,null,null,null,50,KIND 010654Z 14008KT 10SM OVC070 10/00 A2990 RMK AO2 SLP124 T01000000,null
IND,2023-12-01 7:54,50,31,47.83,150,8,0,29.89,1012,10,null,BKN,OVC,null,null,5500,7000,null,null,null,null,null,null,null,null,null,50,KIND 010754Z 15008KT 10SM BKN055 OVC070 10/M01 A2989 RMK AO2 SLP120 T01001006,null
IND,2023-12-01 8:54,48,34,58.16,200,16,T,29.93,1013.4,10,22,SCT,OVC,null,null,6000,7500,null,null,#NAME?,null,null,null,null,null,null,41.27,KIND 010854Z 20016G22KT 10SM -RA SCT060 OVC075 09/01 A2993 RMK AO2 RAB08 SLP134 P0000 60000 T00890011 55001,null
IND,2023-12-01 9:54,44,39,82.44,170,10,0.05,29.91,1013,9,null,BKN,OVC,null,null,4300,5500,null,null,#NAME?,null,null,null,30,190,2023-12-01 9:14,38.02,KIND 010954Z 17010KT 9SM -RA BKN043 OVC055 07/04 A2991 RMK AO2 PK WND 19030/0914 SLP130 P0005 T00670039,null
