station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
KOA,2023-12-01 0:53,82,61,49.03,40,11,T,29.95,1013.9,10,null,FEW,BKN,null,null,5000,11000,null,null,null,null,null,null,null,null,null,82.62,PHKO 010053Z 04011KT 10SM FEW050 BKN110 28/16 A2995 RMK AO2 RAE36 SLP139 P0000 T02780161,null
KOA,2023-12-01 1:53,81,62,52.48,40,12,T,29.95,1014.1,10,null,FEW,SCT,OVC,null,6000,9500,12000,null,null,null,null,null,null,null,null,82.04,PHKO 010153Z 04012KT 10SM FEW060 SCT095 OVC120 27/17 A2995 RMK AO2 RAB00E28 SLP141 P0000 T02720167,null
KOA,2023-12-01 2:53,80,62,54.22,40,18,0,29.94,1013.7,10,24,SCT,OVC,SCT,null,7000,10000,12000,null,null,null,null,null,null,null,null,81.21,PHKO 010253Z COR 04018G24KT 10SM SCT070 OVC100 27/17 A2994,null
KOA,2023-12-01 3:53,80,62,54.22,60,15,T,29.91,1012.8,10,24,SCT,OVC,null,null,6000,8000,null,null,#NAME?,null,null,null,28,60,2023-12-01 3:33,81.21,PHKO 010353Z 06015G24KT 10SM -RA SCT060 OVC080 27/17 A2991 RMK AO2 PK WND 06028/0333 RAB41 SLP128 P0000 T02670167,null
KOA,2023-12-01 4:25,77,69,76.36,170,10,T,29.91,null,10,15,BKN,null,null,null,12000,null,null,null,null,null,null,null,null,null,null,77,PHKO 010425Z 17010G15KT 10SM BKN120 25/21 A2991 RMK AO2 RAE00 P0000 T02500206,null
KOA,2023-12-01 4:53,77,70,79.02,90,7,T,29.9,1012.4,10,null,BKN,null,null,null,11000,null,null,null,#NAME?,null,null,null,null,null,null,77,PHKO 010453Z 09007KT 10SM -RA BKN110 25/21 A2990 RMK AO2 RAE00B52 SLP124 P0000 T02500211,null
KOA,2023-12-01 5:48,78.8,71.6,78.62,170,11,0,29.93,null,10,null,FEW,null,null,null,12000,null,null,null,null,null,null,null,null,null,null,78.8,PHKO 010548Z 17011KT 10SM FEW120 26/22 A2993,null
KOA,2023-12-01 5:53,78,72,81.82,170,11,T,29.93,1013.4,10,null,FEW,null,null,null,12000,null,null,null,null,null,null,null,null,null,null,78,PHKO 010553Z 17011KT 10SM FEW120 26/22 A2993 RMK AO2 WSHFT 0528 RAE02 SLP134 P0000 60000 T02560222 10289 20239 53007,null
KOA,2023-12-01 6:53,76,72,87.43,180,7,0,29.95,1014.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,76,PHKO 010653Z 18007KT 10SM CLR 24/22 A2995 RMK AO2 SLP142 T02440222,null
KOA,2023-12-01 7:53,77,72,84.58,180,8,0,29.97,1014.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,77,PHKO 010753Z 18008KT 10SM CLR 25/22 A2997 RMK AO2 SLP148 T02500222,null
