station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LBB,2023-12-01 0:53,46,37,70.64,340,10,0,29.77,1006.3,10,null,BKN,null,null,null,9500,null,null,null,null,null,null,null,null,null,null,40.52,KLBB 010053Z 34010KT 10SM BKN095 08/03 A2977 RMK AO2 SLP063 T00780028,null
LBB,2023-12-01 1:53,42,35,76.03,350,12,0,29.79,1007.6,10,null,SCT,null,null,null,9000,null,null,null,null,null,null,null,null,null,null,34.73,KLBB 010153Z 35012KT 10SM SCT090 06/02 A2979 RMK AO2 SLP076 T00560017,null
LBB,2023-12-01 2:53,40,33,75.84,340,10,0,29.81,1008.3,10,null,BKN,null,null,null,8000,null,null,null,null,null,null,null,null,null,null,33,KLBB 010253Z 34010KT 10SM BKN080 04/01 A2981 RMK AO2 SLP083 T00440006 51023,null
LBB,2023-12-01 3:53,38,31,75.65,330,11,0,29.84,1009.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30.05,KLBB 010353Z 33011KT 10SM CLR 03/M01 A2984 RMK AO2 SLP093 T00331006,null
LBB,2023-12-01 4:53,36,31,81.86,330,6,0,29.83,1008.9,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,30.35,KLBB 010453Z 33006KT 10SM FEW250 02/M01 A2983 RMK AO2 SLP089 T00221006,null
LBB,2023-12-01 5:53,35,30,81.78,270,6,0,29.86,1010.2,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,29.14,KLBB 010553Z 27006KT 10SM BKN250 02/M01 A2986 RMK AO2 SLP102 BKN LYR THN T00171011 10094 20011 401560011 53013,null
LBB,2023-12-01 6:53,33,29,85.04,290,7,0,29.87,1010.4,10,null,FEW,FEW,null,null,20000,25000,null,null,null,null,null,null,null,null,null,26,KLBB 010653Z 29007KT 10SM FEW200 FEW250 01/M02 A2987 RMK AO2 SLP104 T00061017,null
LBB,2023-12-01 7:53,32,28,84.98,290,7,0,29.86,1010.1,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,24.78,KLBB 010753Z 29007KT 10SM FEW250 00/M02 A2986 RMK AO2 SLP101 T00001022,null
LBB,2023-12-01 8:53,31,27,84.92,300,6,0,29.87,1010.6,10,null,FEW,FEW,null,null,19000,25000,null,null,null,null,null,null,null,null,null,24.33,KLBB 010853Z 30006KT 10SM FEW190 FEW250 M01/M03 A2987 RMK AO2 SLP106 T10061028 51005,null
LBB,2023-12-01 9:53,31,27,84.92,330,6,0,29.87,1010.6,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,24.33,KLBB 010953Z 33006KT 10SM SCT250 M01/M03 A2987 RMK AO2 SLP106 T10061028,null
