station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LGA,2023-12-01 0:51,49,27,42.16,220,7,0,30.13,1020.3,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,45.5,KLGA 010051Z 22007KT 10SM BKN250 09/M03 A3013 RMK AO2 SLP203 T00941028,null
LGA,2023-12-01 1:51,48,28,45.61,200,7,0,30.13,1020.2,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,44.28,KLGA 010151Z 20007KT 10SM BKN250 09/M02 A3013 RMK AO2 SLP202 T00891022,null
LGA,2023-12-01 2:51,47,29,49.34,220,8,0,30.14,1020.4,10,null,BKN,null,null,null,23000,null,null,null,null,null,null,null,null,null,null,42.59,KLGA 010251Z 22008KT 10SM BKN230 08/M02 A3014 RMK AO2 SLP204 T00831017 53002,null
LGA,2023-12-01 3:51,47,28,47.36,220,6,0,30.15,1020.8,10,15,SCT,null,null,null,24000,null,null,null,null,null,null,null,null,null,null,43.6,KLGA 010351Z 22006G15KT 10SM SCT240 08/M02 A3015 RMK AO2 SLP208 T00831022,null
LGA,2023-12-01 4:51,46,29,51.24,220,11,0,30.15,1021,10,null,FEW,null,null,null,24000,null,null,null,null,null,null,null,null,null,null,40.16,KLGA 010451Z 22011KT 10SM FEW240 08/M02 A3015 RMK AO2 SLP210 T00781017 401110022,null
LGA,2023-12-01 5:51,45,29,53.22,180,8,0,30.14,1020.5,10,null,SCT,null,null,null,24000,null,null,null,null,null,null,null,null,null,null,40.13,KLGA 010551Z 18008KT 10SM SCT240 07/M02 A3014 RMK AO2 SLP205 T00721017 10100 20067 50001,null
LGA,2023-12-01 6:51,45,30,55.43,210,5,0,30.16,1021.1,10,null,SCT,null,null,null,24000,null,null,null,null,null,null,null,null,null,null,41.83,KLGA 010651Z 21005KT 10SM SCT240 07/M01 A3016 RMK AO2 SLP211 T00721011,null
LGA,2023-12-01 7:51,42,29,59.69,180,6,0,30.15,1020.9,10,null,SCT,null,null,null,24000,null,null,null,null,null,null,null,null,null,null,37.57,KLGA 010751Z 18006KT 10SM SCT240 06/M02 A3015 RMK AO2 SLP209 T00561017,null
LGA,2023-12-01 8:51,42,29,59.69,170,6,0,30.15,1020.9,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,37.57,KLGA 010851Z 17006KT 10SM FEW250 06/M02 A3015 RMK AO2 SLP209 T00561017 50004,null
LGA,2023-12-01 9:51,42,30,62.18,190,8,0,30.15,1021,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,36.43,KLGA 010951Z 19008KT 10SM FEW250 06/M01 A3015 RMK AO2 SLP210 T00561011,null
LGA,2023-12-01 10:51,42,30,62.18,200,5,0,30.16,1021.2,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,38.27,KLGA 011051Z 20005KT 10SM FEW250 06/M01 A3016 RMK AO2 SLP212 T00561011,null
