station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MFE,2023-12-01 0:53,71,69,93.4,0,0,0,29.73,1006.5,10,null,SCT,null,null,null,2600,null,null,null,null,null,null,null,null,null,null,71,KMFE 010053Z 00000KT 10SM SCT026 22/21 A2973 RMK AO2 SLP065 T02170206,null
MFE,2023-12-01 1:53,69,68,96.62,150,6,0,29.74,1007,8,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,69,KMFE 010153Z 15006KT 8SM CLR 21/20 A2974 RMK AO2 SLP070 T02060200,null
MFE,2023-12-01 2:53,68,68,100,140,5,0,29.76,1007.5,6,null,CLR,null,null,null,null,null,null,null,BR,null,null,null,null,null,null,68,KMFE 010253Z 14005KT 6SM BR CLR 20/20 A2976 RMK AO2 SLP075 T02000200 51017,null
MFE,2023-12-01 3:53,67,67,100,130,4,0,29.77,1007.9,5,null,CLR,null,null,null,null,null,null,null,BR,null,null,null,null,null,null,67,KMFE 010353Z 13004KT 5SM BR CLR 19/19 A2977 RMK AO2 SLP079 T01940194,null
MFE,2023-12-01 4:33,67,67,100,140,5,0,29.78,null,4,null,FEW,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,67,KMFE 010433Z 14005KT 4SM BR FEW006 19/19 A2978 RMK AO2 T01940194,null
MFE,2023-12-01 4:44,66,66,100,0,0,0,29.78,null,1.75,null,SCT,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,66,KMFE 010444Z 00000KT 1 3/4SM BR SCT006 19/19 A2978 RMK AO2 T01890189,null
MFE,2023-12-01 4:49,66.2,66.2,100,0,0,0,29.79,null,2,null,BKN,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,66.2,KMFE 010449Z 00000KT 2SM BR BKN006 19/19 A2979 RMK AO2,null
MFE,2023-12-01 4:53,66,66,100,0,0,0,29.78,1008.3,2.5,null,BKN,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,66,KMFE 010453Z 00000KT 2 1/2SM BR BKN006 19/19 A2978 RMK AO2 SLP083 T01890189,null
MFE,2023-12-01 5:00,66,66,100,150,3,0,29.78,null,3,null,BKN,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,66,KMFE 010500Z 15003KT 3SM BR BKN006 19/19 A2978 RMK AO2 T01890189,null
MFE,2023-12-01 5:10,66,66,100,0,0,0,29.79,null,2,null,BKN,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,66,KMFE 010510Z 00000KT 2SM BR BKN006 19/19 A2979 RMK AO2 T01890189,null
MFE,2023-12-01 5:22,66,66,100,150,3,0,29.78,null,4,null,BKN,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,66,KMFE 010522Z AUTO 15003KT 4SM BR BKN005 19/19 A2978 RMK AO2 T01890189,null
MFE,2023-12-01 5:35,66,66,100,90,3,0,29.79,null,2.5,null,BKN,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,66,KMFE 010535Z AUTO 09003KT 2 1/2SM BR BKN005 19/19 A2979 RMK AO2 T01890189,null
MFE,2023-12-01 5:44,65,65,100,130,5,0,29.78,null,3,null,BKN,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,65,KMFE 010544Z AUTO 13005KT 3SM BR BKN005 18/18 A2978 RMK AO2 T01830183,null
MFE,2023-12-01 5:53,65,65,100,130,5,0,29.78,1008.2,2,null,BKN,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,65,KMFE 010553Z AUTO 13005KT 2SM BR BKN005 18/18 A2978 RMK AO2 SLP082 T01830183 10228 20183 402610139 50007,null
MFE,2023-12-01 5:55,65,65,100,140,5,0,29.78,null,1.5,null,SCT,null,null,null,500,null,null,null,BR,null,null,null,null,null,null,65,KMFE 010555Z AUTO 14005KT 1 1/2SM BR SCT005 18/18 A2978 RMK AO2 T01830183,null
MFE,2023-12-01 6:24,65,65,100,150,5,0,29.77,null,0.75,null,VV ,null,null,null,600,null,null,null,BR,null,null,null,null,null,null,65,KMFE 010624Z AUTO 15005KT 3/4SM BR VV006 18/18 A2977 RMK AO2 T01830183,null
MFE,2023-12-01 6:46,65,65,100,0,0,0,29.77,null,0.75,null,VV ,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,65,KMFE 010646Z AUTO 00000KT 3/4SM BR VV004 18/18 A2977 RMK AO2 T01830183,null
MFE,2023-12-01 6:53,65,65,100,140,3,0,29.77,1007.9,0.5,null,VV ,null,null,null,400,null,null,null,FG,null,null,null,null,null,null,65,KMFE 010653Z AUTO 14003KT 1/2SM FG VV004 18/18 A2977 RMK AO2 SLP079 T01830183,null
MFE,2023-12-01 7:03,65,65,100,0,0,0,29.78,null,0.25,null,VV ,null,null,null,300,null,null,null,FG,null,null,null,null,null,null,65,KMFE 010703Z AUTO 00000KT 1/4SM FG VV003 18/18 A2978 RMK AO2 T01830183,null
MFE,2023-12-01 7:15,65,65,100,0,0,0,29.78,null,1,null,OVC,null,null,null,300,null,null,null,BR,null,null,null,null,null,null,65,KMFE 010715Z AUTO 00000KT 1SM BR OVC003 18/18 A2978 RMK AO2 T01830183,null
MFE,2023-12-01 7:39,66,66,100,0,0,0,29.77,null,0.75,null,VV ,null,null,null,200,null,null,null,BR,null,null,null,null,null,null,66,KMFE 010739Z AUTO 00000KT 3/4SM BR VV002 19/19 A2977 RMK AO2 T01890189,null
MFE,2023-12-01 7:53,66,66,100,0,0,0,29.77,1008,0.5,null,VV ,null,null,null,200,null,null,null,FG,null,null,null,null,null,null,66,KMFE 010753Z AUTO 00000KT 1/2SM FG VV002 19/19 A2977 RMK AO2 SLP080 T01890189,null
MFE,2023-12-01 8:08,66,66,100,0,0,0,29.77,null,0.25,null,VV ,null,null,null,200,null,null,null,FG,null,null,null,null,null,null,66,KMFE 010808Z AUTO 00000KT 1/4SM FG VV002 19/19 A2977 RMK AO2 T01890189,null
MFE,2023-12-01 8:53,67,67,100,360,3,0,29.77,1007.9,0.25,null,VV ,null,null,null,200,null,null,null,FG,null,null,null,null,null,null,67,KMFE 010853Z AUTO 36003KT 1/4SM FG VV002 19/19 A2977 RMK AO2 SLP079 T01940194 56003,null
MFE,2023-12-01 9:53,67,67,100,240,3,0,29.77,1007.9,0.25,null,VV ,null,null,null,200,null,null,null,FG,null,null,null,null,null,null,67,KMFE 010953Z AUTO 24003KT 1/4SM FG VV002 19/19 A2977 RMK AO2 SLP079 T01940194,null
MFE,2023-12-01 10:25,66,66,100,280,3,0,29.77,null,0.5,null,VV ,null,null,null,200,null,null,null,FG,null,null,null,null,null,null,66,KMFE 011025Z AUTO 28003KT 1/2SM FG VV002 19/19 A2977 RMK AO2 T01890189,null
MFE,2023-12-01 10:53,66,66,100,290,4,0,29.76,1007.7,1.25,null,OVC,null,null,null,400,null,null,null,BR,null,null,null,null,null,null,66,KMFE 011053Z AUTO 29004KT 1 1/4SM BR OVC004 19/19 A2976 RMK AO2 SLP077 T01890189,null
MFE,2023-12-01 11:53,65,65,100,0,0,0,29.78,1008.3,1.75,null,OVC,null,null,null,300,null,null,null,BR,null,null,null,null,null,null,65,KMFE 011153Z AUTO 00000KT 1 3/4SM BR OVC003 18/18 A2978 RMK AO2 SLP083 T01830183 10194 20178 53004,null
MFE,2023-12-01 11:56,65,65,100,280,3,0,29.78,null,1.75,null,OVC,null,null,null,300,null,null,null,BR,null,null,null,null,null,null,65,KMFE 011156Z 28003KT 1 3/4SM BR OVC003 18/18 A2978 RMK AO2 T01830183,null
MFE,2023-12-01 12:03,65,65,100,260,3,0,29.79,null,2,null,OVC,null,null,null,300,null,null,null,BR,null,null,null,null,null,null,65,KMFE 011203Z 26003KT 2SM BR OVC003 18/18 A2979 RMK AO2 T01830183,null
MFE,2023-12-01 12:28,65,65,100,250,3,0,29.79,null,2.5,null,SCT,OVC,null,null,300,1000,null,null,BR,null,null,null,null,null,null,65,KMFE 011228Z 25003KT 2 1/2SM BR SCT003 OVC010 18/18 A2979 RMK AO2 T01830183,null
MFE,2023-12-01 12:34,65,65,100,260,3,0,29.8,null,3,null,BKN,OVC,null,null,500,1000,null,null,BR,null,null,null,null,null,null,65,KMFE 011234Z 26003KT 3SM BR BKN005 OVC010 18/18 A2980 RMK AO2 T01830183,null
