station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MKE,2023-12-01 0:52,39,30,69.85,0,0,0,29.84,1011.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39,KMKE 010052Z 00000KT 10SM CLR 04/M01 A2984 RMK AO2 SLP111 T00391011,null
MKE,2023-12-01 1:52,36,29,75.46,310,3,0,29.85,1011.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33.26,KMKE 010152Z 31003KT 10SM CLR 02/M02 A2985 RMK AO2 SLP115 T00221017,null
MKE,2023-12-01 2:52,33,27,78.34,320,3,0,29.87,1012,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.83,KMKE 010252Z 32003KT 10SM CLR 01/M03 A2987 RMK AO2 SLP120 T00061028 51018,null
MKE,2023-12-01 3:52,32,27,81.55,330,3,0,29.87,1012.2,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,28.69,KMKE 010352Z 33003KT 10SM FEW250 00/M03 A2987 RMK AO2 SLP122 T00001028,null
MKE,2023-12-01 4:52,37,28,69.63,330,5,0,29.89,1012.5,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,32.33,KMKE 010452Z 33005KT 10SM SCT250 03/M02 A2989 RMK AO2 SLP125 T00281022,null
MKE,2023-12-01 5:52,35,27,72.32,340,6,0,29.9,1012.9,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,29.14,KMKE 010552Z COR 34006KT 10SM FEW250 02/M03 A2990 RMK AO2 SLP129 T00171028 10067 20000 401060000 53011,null
MKE,2023-12-01 6:50,35.6,28.4,74.8,320,5,0,29.91,null,10,null,FEW,SCT,null,null,900,25000,null,null,null,null,null,null,null,null,null,30.67,KMKE 010650Z 32005KT 10SM FEW009 SCT250 02/M02 A2991 RMK AO2,null
MKE,2023-12-01 6:52,36,29,75.46,330,4,0,29.91,1013.2,10,null,FEW,SCT,null,null,900,25000,null,null,null,null,null,null,null,null,null,32.09,KMKE 010652Z 33004KT 10SM FEW009 SCT250 02/M02 A2991 RMK AO2 SLP132 T00221017,null
MKE,2023-12-01 7:13,35,29,78.51,320,3,0,29.91,null,10,null,SCT,BKN,BKN,null,2200,2600,3100,null,null,null,null,null,null,null,null,32.12,KMKE 010713Z 32003KT 10SM SCT022 BKN026 BKN031 02/M02 A2991 RMK AO2 T00171017,null
MKE,2023-12-01 7:50,42.8,33.8,70.28,70,7.97,null,29.91,null,10,null,SCT,BKN,null,null,2299,3100,null,null,null,null,null,null,null,null,null,37.43,SPECI KMKE 010750Z 07008KT 10SM SCT023 BKN031 06/01 A2991 RMK AO2 FIBI (JMF),null
MKE,2023-12-01 7:52,42,34,73.06,70,9,0,29.91,1013.2,10,null,SCT,BKN,null,null,2300,3100,null,null,null,null,null,null,null,null,null,35.95,KMKE 010752Z 07009KT 10SM SCT023 BKN031 06/01 A2991 RMK AO2 SLP132 T00560011,null
MKE,2023-12-01 8:09,43,35,73.16,50,13,0,29.9,null,10,null,BKN,OVC,null,null,2100,3100,null,null,null,null,null,null,null,null,null,35.66,KMKE 010809Z 05013KT 10SM BKN021 OVC031 06/02 A2990 RMK AO2 T00610017,null
MKE,2023-12-01 8:52,43,35,73.16,60,10,0,29.91,1013,10,null,OVC,null,null,null,2100,null,null,null,null,null,null,null,null,null,null,36.76,KMKE 010852Z 06010KT 10SM OVC021 06/02 A2991 RMK AO2 SLP130 T00610017 58001,null
MKE,2023-12-01 9:52,43,34,70.3,80,10,0,29.88,1012.3,10,null,OVC,null,null,null,2400,null,null,null,null,null,null,null,null,null,null,36.76,KMKE 010952Z 08010KT 10SM OVC024 06/01 A2988 RMK AO2 SLP123 T00610011,null
MKE,2023-12-01 10:50,42.8,33.8,70.28,70,13.02,null,29.87,null,10,null,BKN,OVC,null,null,2998,7001,null,null,null,null,null,null,null,null,null,35.4,SPECI KMKE 011050Z 07013KT 10SM BKN030 OVC070 06/01 A2987 RMK AO2 FIBI (JMF),null
MKE,2023-12-01 10:52,43,34,70.3,70,13,0,29.87,1012,10,null,BKN,OVC,null,null,3000,7000,null,null,null,null,null,null,null,null,null,35.66,KMKE 011052Z 07013KT 10SM BKN030 OVC070 06/01 A2987 RMK AO2 SLP120 T00610011,null
