station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
RDU,2023-12-01 0:51,51,29,42.49,190,7,0,30.21,1023,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,51,KRDU 010051Z 19007KT 10SM FEW250 11/M02 A3021 RMK AO2 SLP230 T01061017,null
RDU,2023-12-01 1:51,48,29,47.52,200,5,0,30.21,1023,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,45.4,KRDU 010151Z 20005KT 10SM FEW250 09/M02 A3021 RMK AO2 SLP230 T00891017,null
RDU,2023-12-01 2:51,47,29,49.34,0,0,0,30.2,1022.8,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,47,KRDU 010251Z COR 00000KT 10SM FEW250 08/M02 A3020 RMK AO2 SLP228 T00831017 50002,null
RDU,2023-12-01 3:51,44,29,55.29,180,3,0,30.21,1022.9,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,42.41,KRDU 010351Z 18003KT 10SM FEW250 07/M02 A3021 RMK AO2 SLP229 T00671017,null
RDU,2023-12-01 4:51,43,30,59.83,0,0,0,30.21,1023,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,43,KRDU 010451Z 00000KT 10SM FEW250 06/M01 A3021 RMK AO2 SLP230 T00611011 401721022,null
RDU,2023-12-01 5:51,42,30,62.18,0,0,0,30.22,1023.1,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,42,KRDU 010551Z 00000KT 10SM SCT250 06/M01 A3022 RMK AO2 SLP231 T00561011 10111 20044 53004,null
RDU,2023-12-01 6:51,41,29,62.04,0,0,0,30.21,1023,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,41,KRDU 010651Z 00000KT 10SM BKN250 05/M02 A3021 RMK AO2 SLP230 T00501017,null
RDU,2023-12-01 7:51,39,30,69.85,0,0,0,30.21,1022.9,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,39,KRDU 010751Z 00000KT 10SM BKN250 04/M01 A3021 RMK AO2 SLP229 T00391011,null
RDU,2023-12-01 8:51,37,29,72.54,0,0,0,30.21,1022.9,10,null,FEW,OVC,null,null,4000,25000,null,null,null,null,null,null,null,null,null,37,KRDU 010851Z 00000KT 10SM FEW040 OVC250 03/M02 A3021 RMK AO2 SLP229 T00281017 56003,null
RDU,2023-12-01 9:51,36,30,78.6,0,0,0,30.21,1022.9,10,null,FEW,OVC,null,null,4000,25000,null,null,null,null,null,null,null,null,null,36,KRDU 010951Z 00000KT 10SM FEW040 OVC250 02/M01 A3021 RMK AO2 SLP229 T00221011,null
