station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
RNO,2023-12-01 0:55,45,26,47.04,290,6,0,29.87,1011.1,10,null,BKN,BKN,null,null,5500,9000,null,null,null,null,null,null,null,null,null,41.19,KRNO 010055Z 29006KT 10SM BKN055 BKN090 07/M03 A2987 RMK AO2 SLP111 VIRGA T00721033,null
RNO,2023-12-01 1:55,43,27,52.91,290,13,0,29.88,1011.5,10,null,BKN,BKN,null,null,6500,9500,null,null,null,null,null,null,null,null,null,35.66,KRNO 010155Z 29013KT 10SM BKN065 BKN095 06/M03 A2988 RMK AO2 SLP115 T00611028,null
RNO,2023-12-01 2:55,42,28,57.3,310,8,0,29.88,1011.6,10,null,SCT,BKN,null,null,7000,12000,null,null,null,null,null,null,null,null,null,36.43,KRNO 010255Z 31008KT 10SM SCT070 BKN120 06/M02 A2988 RMK AO2 SLP116 T00561022 50002,null
RNO,2023-12-01 3:55,42,27,54.99,300,10,0,29.88,1011.6,10,null,BKN,BKN,null,null,7500,13000,null,null,null,null,null,null,null,null,null,35.51,KRNO 010355Z 30010KT 10SM BKN075 BKN130 06/M03 A2988 RMK AO2 SLP116 T00561028,null
RNO,2023-12-01 4:55,40,27,59.41,250,5,0,29.9,1012.5,10,null,BKN,BKN,null,null,5500,11000,null,null,null,null,null,null,null,null,null,35.9,KRNO 010455Z 25005KT 10SM BKN055 BKN110 04/M03 A2990 RMK AO2 SLP125 T00441028,null
RNO,2023-12-01 5:55,40,28,61.91,290,4,0,29.92,1012.8,10,null,BKN,BKN,null,null,5500,10000,null,null,null,null,null,null,null,null,null,36.76,KRNO 010555Z 29004KT 10SM BKN055 BKN100 04/M02 A2992 RMK AO2 SLP128 T00441022 10083 20044 53013,null
RNO,2023-12-01 6:55,39,29,67.06,330,12,0,29.94,1013.1,10,null,BKN,null,null,null,5500,null,null,null,null,null,null,null,null,null,null,30.91,KRNO 010655Z 33012KT 10SM BKN055 04/M02 A2994 RMK AO2 SLP131 T00391017,null
RNO,2023-12-01 7:55,38,26,61.64,340,8,0,29.94,1012.8,10,null,FEW,FEW,null,null,5500,18000,null,null,null,null,null,null,null,null,null,31.5,KRNO 010755Z 34008KT 10SM FEW055 FEW180 03/M03 A2994 RMK AO2 SLP128 T00331033 401061006,null
RNO,2023-12-01 8:55,37,25,61.5,340,11,0,29.93,1012.6,10,null,FEW,SCT,null,null,5500,18000,null,null,null,null,null,null,null,null,null,28.79,KRNO 010855Z 34011KT 10SM FEW055 SCT180 03/M04 A2993 RMK AO2 SLP126 T00281039 50004,null
RNO,2023-12-01 9:55,36,23,58.85,340,10,0,29.95,1013.1,10,null,SCT,BKN,null,null,12000,15000,null,null,null,null,null,null,null,null,null,27.98,KRNO 010955Z 34010KT 10SM SCT120 BKN150 02/M05 A2995 RMK AO2 SLP131 T00221050,null
