station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
OKC,2023-12-01 0:52,51,50,96.36,150,9,0.01,29.63,1002.9,1.5,null,OVC,null,null,null,400,null,null,null,#NAME?,null,null,null,null,null,null,51,KOKC 010052Z 15009KT 1 1/2SM -DZ OVC004 11/10 A2963 RMK AO2 SFC VIS 9 LTG DSNT N AND NW RAE2355DZB2357E29B49 SLP029 OCNL LTGIC DSNT N-NE CB N-NE MOV NE P0001 T01060100,null
TUL,2023-12-01 0:53,51,50,96.36,140,7,T,29.65,1003.8,7,null,OVC,null,null,null,500,null,null,null,null,null,null,null,null,null,null,51,KTUL 010053Z 14007KT 7SM OVC005 11/10 A2965 RMK AO2 RAE01 SLP038 P0000 T01060100,null
OKC,2023-12-01 0:56,50,50,100,150,7,T,29.63,null,9,null,OVC,null,null,null,400,null,null,null,#NAME?,null,null,null,null,null,null,50,KOKC 010056Z 15007KT 9SM -DZ OVC004 10/10 A2963 RMK AO2 LTG DSNT N AND NW OCNL LTGIC DSNT N-NE CB DSNT N-NE MOV NE P0000 T01000100,null
OKC,2023-12-01 1:17,50,50,100,170,8,T,29.64,null,1.5,null,OVC,null,null,null,200,null,null,null,BR,null,null,null,null,null,null,50,KOKC 010117Z 17008KT 1 1/2SM BR OVC002 10/10 A2964 RMK AO2 LTG DSNT SW-N DZE16 P0000 T01000100,null
OKC,2023-12-01 1:34,50,50,100,160,6,T,29.64,null,1,null,VV ,null,null,null,200,null,null,null,#NAME?,null,null,null,null,null,null,50,KOKC 010134Z 16006KT 1SM R35R/4000V6000FT -RA BR VV002 10/10 A2964 RMK AO2 DZE16RAB33 P0000 T01000100,null
OKC,2023-12-01 1:39,50,50,100,180,5,0.01,29.64,null,0.75,null,VV ,null,null,null,200,null,null,null,TSRA BR,null,null,null,null,null,null,50,KOKC 010139Z 18005KT 3/4SM R35R/4000V5000FT TSRA BR VV002 10/10 A2964 RMK AO2 DZE16RAB33 TSB39 OCNL LTGIC OHD-ALQDS TS OHD-ALQDS MOV NE P0001 T01000100,null
OKC,2023-12-01 1:49,50,50,100,220,15,0.06,29.66,null,2,29,SCT,OVC,null,null,200,600,null,null,#NAME?,null,null,null,29,240,2023-12-01 1:45,50,KOKC 010149Z 22015G29KT 2SM R35R/6000VP6000FT +TSRA BR SCT002 OVC006CB 10/10 A2966 RMK AO2 PK WND 24029/0145 LTG DSNT W AND NW DZE16RAB33 TSB39 FRQ LTGICCG OHD-ALQDS TS OHD-ALQDS MOV NE P0006,null
OKC,2023-12-01 1:52,50,50,100,190,12,0.09,29.65,1003.8,2,29,SCT,SCT,OVC,null,200,1100,2800,null,#NAME?,null,null,null,29,240,2023-12-01 1:45,50,KOKC 010152Z 19012G29KT 2SM +TSRA BR SCT002 SCT011CB OVC028 10/10 A2965 RMK AO2 PK WND 24029/0145 LTG DSNT W AND NW DZE16RAB33 TSB39 SLP038 FRQ LTGICCG OHD-ALQDS TS OHD-ALQDS MOV NE P0009 T01000100,null
TUL,2023-12-01 1:53,51,50,96.36,150,9,0.02,29.63,1003.2,2.5,null,OVC,null,null,null,600,null,null,null,#NAME?,null,null,null,null,null,null,51,KTUL 010153Z 15009KT 2 1/2SM -RA BR OVC006 11/10 A2963 RMK AO2 LTG DSNT SW AND W RAB35 SLP032 P0002 T01060100,null
OKC,2023-12-01 1:58,50,50,100,190,9,0.01,29.64,null,8,21,FEW,SCT,OVC,null,300,1800,7500,null,#NAME?,null,null,null,null,null,null,50,KOKC 010158Z 19009G21KT 8SM -TSRA FEW003 SCT018CB OVC075 10/10 A2964 RMK AO2 LTG DSNT W AND NW OCNL LTGICCG N-E TS N-E MOV NE P0001 T01000100 $,null
TUL,2023-12-01 2:04,51,50,96.36,160,7,T,29.63,null,4,null,OVC,null,null,null,500,null,null,null,#NAME?,null,null,null,null,null,null,51,KTUL 010204Z 16007KT 4SM -RA BR OVC005 11/10 A2963 RMK AO2 LTG DSNT SW AND W P0000 T01060100,null
OKC,2023-12-01 2:23,50,49,96.34,150,6,0.01,29.64,null,10,null,FEW,BKN,OVC,null,1000,7500,14000,null,null,null,null,null,null,null,null,50,KOKC 010223Z 15006KT 10SM FEW010 BKN075 OVC140 10/09 A2964 RMK AO2 LTG DSNT NE AND E AND W RAE17 TSE17 OCNL LTGICCC DSNT NE CB DSNT NE MOV NE P0001 T01000094 $,null
TUL,2023-12-01 2:26,51,50,96.36,null,4,0.05,29.65,null,1.5,null,OVC,null,null,null,500,null,null,null,#NAME?,null,null,null,null,null,null,51,KTUL 010226Z VRB04KT 1 1/2SM +RA BR OVC005 11/10 A2965 RMK AO2 P0005 T01060100,null
TUL,2023-12-01 2:33,51,50,96.36,160,5,0.14,29.64,null,3,null,OVC,null,null,null,500,null,null,null,#NAME?,null,null,null,null,null,null,51,KTUL 010233Z 16005KT 3SM -RA BR OVC005 11/10 A2964 RMK AO2 P0014 T01060100,null
OKC,2023-12-01 2:52,49,48,96.32,230,6,0.01,29.67,1004.5,10,null,FEW,SCT,BKN,null,1000,5000,20000,null,null,null,null,null,null,null,null,46,KOKC 010252Z 23006KT 10SM FEW010 SCT050 BKN200 09/09 A2967 RMK AO2 RAE17 TSE17 SLP045 P0001 60011 T00940089 53013 $,null
TUL,2023-12-01 2:53,51,50,96.36,160,6,0.17,29.64,1003.5,7,null,OVC,null,null,null,600,null,null,null,#NAME?,null,null,null,null,null,null,51,KTUL 010253Z 16006KT 7SM -RA OVC006 11/10 A2964 RMK AO2 LTG DSNT SE SLP035 P0017 60019 T01060100 55008,null
OKC,2023-12-01 3:32,48,47,96.31,300,7,0,29.68,null,10,null,SCT,SCT,BKN,null,700,2100,5000,null,null,null,null,null,null,null,null,44.28,KOKC 010332Z COR 30007KT 10SM SCT007 SCT021 BKN050 09/08 A2968 RMK AO2 SCT007 V BKN FRQ LTGIC DSNT SE CB DSNT SE T00890083 $,null
TUL,2023-12-01 3:40,51,50,96.36,180,8,0.11,29.67,null,5,null,FEW,BKN,OVC,null,400,3500,5500,null,#NAME?,null,null,null,null,null,null,51,KTUL 010340Z 18008KT 5SM -RA BR FEW004 BKN035 OVC055 11/10 A2967 RMK AO2 P0011 T01060100,null
OKC,2023-12-01 3:52,47,46,96.29,300,3,0,29.68,1004.7,10,null,SCT,SCT,SCT,null,700,5000,20000,null,null,null,null,null,null,null,null,45.84,KOKC 010352Z 30003KT 10SM SCT007 SCT050 SCT200 08/08 A2968 RMK AO2 SLP047 T00830078 $,null
TUL,2023-12-01 3:53,51,50,96.36,190,6,0.13,29.67,1004.4,6,null,BKN,BKN,OVC,null,3700,4700,5500,null,#NAME?,null,null,null,null,null,null,51,KTUL 010353Z 19006KT 6SM -RA BR BKN037 BKN047 OVC055 11/10 A2967 RMK AO2 SLP044 P0013 T01060100,null
TUL,2023-12-01 4:23,51,50,96.36,180,8,0.01,29.67,null,10,null,SCT,BKN,null,null,500,8000,null,null,null,null,null,null,null,null,null,51,KTUL 010423Z 18008KT 10SM SCT005 BKN080 11/10 A2967 RMK AO2 RAE11 P0001 T01060100,null
TUL,2023-12-01 4:32,51,50,96.36,180,6,0.01,29.66,null,10,null,BKN,BKN,null,null,500,8000,null,null,null,null,null,null,null,null,null,51,KTUL 010432Z 18006KT 10SM BKN005 BKN080 11/10 A2966 RMK AO2 RAE11 P0001 T01060100,null
TUL,2023-12-01 4:44,50,50,100,180,4,0.01,29.65,null,10,null,BKN,BKN,null,null,400,3000,null,null,null,null,null,null,null,null,null,50,KTUL 010444Z 18004KT 10SM BKN004 BKN030 10/10 A2965 RMK AO2 RAE11 P0001 T01000100,null
OKC,2023-12-01 4:52,44,43,96.24,260,7,0,29.71,1005.8,10,null,FEW,FEW,FEW,null,900,1500,7000,null,null,null,null,null,null,null,null,39.41,KOKC 010452Z 26007KT 10SM FEW009 FEW015 FEW070 07/06 A2971 RMK AO2 SLP058 T00670061 $,null
TUL,2023-12-01 4:53,50,49,96.34,140,5,0.01,29.65,1003.8,10,null,BKN,BKN,null,null,400,2900,null,null,null,null,null,null,null,null,null,50,KTUL 010453Z 14005KT 10SM BKN004 BKN029 10/09 A2965 RMK AO2 RAE11 SLP038 P0001 T01000094,null
OKC,2023-12-01 5:17,44,44,100,260,7,0,29.7,null,10,null,BKN,BKN,null,null,800,1500,null,null,null,null,null,null,null,null,null,39.41,KOKC 010517Z 26007KT 10SM BKN008 BKN015 07/07 A2970 RMK AO2 T00670067 $,null
OKC,2023-12-01 5:52,46,45,96.28,270,10,0,29.72,1006.4,10,null,OVC,null,null,null,800,null,null,null,null,null,null,null,null,null,null,40.52,KOKC 010552Z 27010KT 10SM OVC008 08/07 A2972 RMK AO2 SLP064 60011 T00780072 10106 20067 401330067 53018 $,null
TUL,2023-12-01 5:53,52,50,92.86,210,6,0,29.68,1004.8,10,14,SCT,BKN,OVC,null,400,1500,3500,null,null,null,null,null,null,null,null,52,KTUL 010553Z 21006G14KT 10SM SCT004 BKN015 OVC035 11/10 A2968 RMK AO2 SLP048 60033 T01110100 10111 20094 401280094 52013,null
OKC,2023-12-01 6:52,45,44,96.26,270,12,0,29.74,1006.8,10,null,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,38.55,KOKC 010652Z 27012KT 10SM OVC007 07/07 A2974 RMK AO2 SLP068 T00720067 $,null
TUL,2023-12-01 6:53,51,49,92.83,190,8,0,29.69,1005.1,10,null,SCT,SCT,SCT,null,2500,8500,13000,null,null,null,null,null,null,null,null,51,KTUL 010653Z 19008KT 10SM SCT025 SCT085 SCT130 11/09 A2969 RMK AO2 SLP051 T01060094,null
OKC,2023-12-01 7:52,44,42,92.61,290,13,0,29.73,1006.7,8,null,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,36.94,KOKC 010752Z 29013KT 8SM OVC007 07/06 A2973 RMK AO2 SLP067 T00670056 $,null
TUL,2023-12-01 7:53,48,47,96.31,190,6,0,29.68,1005,5,null,FEW,SCT,null,null,2500,12000,null,null,BR,null,null,null,null,null,null,44.8,KTUL 010753Z 19006KT 5SM BR FEW025 SCT120 09/08 A2968 RMK AO2 SLP050 T00890083,null
OKC,2023-12-01 8:52,43,41,92.58,290,10,0,29.75,1007.5,8,null,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,36.76,KOKC 010852Z 29010KT 8SM OVC007 06/05 A2975 RMK AO2 SLP075 T00610050 53010 $,null
TUL,2023-12-01 8:53,51,48,89.42,250,11,0,29.7,1005.6,10,null,SCT,SCT,SCT,null,900,2500,8500,null,null,null,null,null,null,null,null,51,KTUL 010853Z 25011KT 10SM SCT009 SCT025 SCT085 11/09 A2970 RMK AO2 SLP056 T01060089 53008,null
OKC,2023-12-01 9:52,42,40,92.55,290,10,T,29.77,1008.3,6,null,OVC,null,null,null,700,null,null,null,#NAME?,null,null,null,null,null,null,35.51,KOKC 010952Z 29010KT 6SM -DZ BR OVC007 06/04 A2977 RMK AO2 DZB45 SLP083 P0000 T00560044 $,null
TUL,2023-12-01 9:53,47,45,92.71,260,9,0,29.72,1006.4,10,null,SCT,SCT,BKN,null,900,2500,8500,null,null,null,null,null,null,null,null,42.17,KTUL 010953Z 26009KT 10SM SCT009 SCT025 BKN085 08/07 A2972 RMK AO2 SLP064 T00830072,null
OKC,2023-12-01 10:52,41,40,96.19,310,14,T,29.8,1009,10,20,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,32.76,KOKC 011052Z 31014G20KT 10SM OVC007 05/04 A2980 RMK AO2 DZE30 SLP090 P0000 T00500044 $,null
TUL,2023-12-01 10:53,48,45,89.29,260,8,0,29.74,1006.9,10,null,SCT,SCT,BKN,null,900,1500,4500,null,null,null,null,null,null,null,null,43.82,KTUL 011053Z 26008KT 10SM SCT009 SCT015 BKN045 09/07 A2974 RMK AO2 SLP069 T00890072,null
OKC,2023-12-01 11:52,41,39,92.52,310,15,0,29.81,1009.3,10,null,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,32.45,KOKC 011152Z 31015KT 10SM OVC007 05/04 A2981 RMK AO2 SLP093 60000 70018 T00500039 10078 20050 51017 $,null
TUL,2023-12-01 11:53,48,46,92.74,260,6,0,29.76,1007.8,6,null,SCT,BKN,BKN,null,900,1500,7500,null,BR,null,null,null,null,null,null,44.8,KTUL 011153Z 26006KT 6SM BR SCT009 BKN015 BKN075 09/08 A2976 RMK AO2 SLP078 70045 T00890078 10111 20078 53020,null
OKC,2023-12-01 12:52,40,38,92.49,310,13,T,29.84,1010.4,9,null,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,31.82,KOKC 011252Z 31013KT 9SM OVC007 04/03 A2984 RMK AO2 DZB06E29 SLP104 P0000 T00440033 $,null
TUL,2023-12-01 12:53,46,44,92.68,300,8,0,29.78,1008.3,6,null,SCT,SCT,BKN,null,900,1500,7500,null,BR,null,null,null,null,null,null,41.36,KTUL 011253Z 30008KT 6SM BR SCT009 SCT015 BKN075 08/07 A2978 RMK AO2 SLP083 T00780067,null
TUL,2023-12-01 13:39,45,43,92.65,300,9,0,29.81,null,5,null,BKN,OVC,null,null,700,1100,null,null,BR,null,null,null,null,null,null,39.68,KTUL 011339Z 30009KT 5SM BR BKN007 OVC011 07/06 A2981 RMK AO2 T00720061,null
OKC,2023-12-01 13:52,39,37,92.45,310,13,0,29.87,1011.6,10,null,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,30.54,KOKC 011352Z 31013KT 10SM OVC007 04/03 A2987 RMK AO2 SLP116 T00390028,null
TUL,2023-12-01 13:53,44,43,96.24,320,10,0,29.81,1009.6,3,null,BKN,OVC,null,null,700,1000,null,null,BR,null,null,null,null,null,null,38.02,KTUL 011353Z 32010KT 3SM BR BKN007 OVC010 07/06 A2981 RMK AO2 SLP096 T00670061,null
OKC,2023-12-01 14:16,39,37,92.45,320,11,0,29.87,null,10,null,BKN,OVC,null,null,1000,1400,null,null,null,null,null,null,null,null,null,31.31,KOKC 011416Z 32011KT 10SM BKN010 OVC014 04/03 A2987 RMK AO2 T00390028,null
OKC,2023-12-01 14:52,39,36,88.87,320,14,0,29.89,1012.2,10,null,OVC,null,null,null,1100,null,null,null,null,null,null,null,null,null,null,30.19,KOKC 011452Z 32014KT 10SM OVC011 04/02 A2989 RMK AO2 SLP122 60000 T00390022 51026,null
TUL,2023-12-01 14:53,44,41,89.11,300,7,0,29.84,1010.4,8,null,BKN,OVC,null,null,500,800,null,null,null,null,null,null,null,null,null,39.41,KTUL 011453Z 30007KT 8SM BKN005 OVC008 07/05 A2984 RMK AO2 SLP104 T00670050 53025,null
OKC,2023-12-01 15:33,39,36,88.87,320,11,0,29.9,null,10,null,OVC,null,null,null,900,null,null,null,null,null,null,null,null,null,null,31.31,KOKC 011533Z 32011KT 10SM OVC009 04/02 A2990 RMK AO2 T00390022,null
OKC,2023-12-01 15:47,39.2,35.6,86.79,330,13,0,29.91,null,10,null,OVC,null,null,null,1000,null,null,null,null,null,null,null,null,null,null,30.79,KOKC 011547Z 33013KT 10SM OVC010 04/02 A2991 RMK AO2,null
OKC,2023-12-01 15:52,39,36,88.87,330,14,0,29.92,1013.3,10,null,OVC,null,null,null,1000,null,null,null,null,null,null,null,null,null,null,30.19,KOKC 011552Z 33014KT 10SM OVC010 04/02 A2992 RMK AO2 SLP133 T00390022,null
TUL,2023-12-01 15:53,43,40,89.06,310,8,0,29.88,1011.7,8,null,OVC,null,null,null,900,null,null,null,null,null,null,null,null,null,null,37.66,KTUL 011553Z 31008KT 8SM OVC009 06/04 A2988 RMK AO2 SLP117 T00610044,null
OKC,2023-12-01 16:52,39,36,88.87,300,12,0,29.93,1014,10,null,OVC,null,null,null,1000,null,null,null,null,null,null,null,null,null,null,30.91,KOKC 011652Z 30012KT 10SM OVC010 04/02 A2993 RMK AO2 SLP140 T00390022 $,null
TUL,2023-12-01 16:53,43,40,89.06,280,8,0,29.9,1012.5,9,null,OVC,null,null,null,900,null,null,null,null,null,null,null,null,null,null,37.66,KTUL 011653Z 28008KT 9SM OVC009 06/04 A2990 RMK AO2 SLP125 T00610044,null
OKC,2023-12-01 17:03,39,36,88.87,310,9,0,29.93,null,10,null,OVC,null,null,null,900,null,null,null,null,null,null,null,null,null,null,32.22,KOKC 011703Z 31009KT 10SM OVC009 04/02 A2993 RMK AO2 T00390022 $,null
OKC,2023-12-01 17:18,39,35,85.42,310,13,0,29.94,null,10,null,OVC,null,null,null,1000,null,null,null,null,null,null,null,null,null,null,30.54,KOKC 011718Z 31013KT 10SM OVC010 04/02 A2994 RMK AO2 T00390017 $,null
TUL,2023-12-01 17:24,43,40,89.06,270,9,0,29.91,null,10,null,BKN,OVC,null,null,1000,1400,null,null,null,null,null,null,null,null,null,37.19,KTUL 011724Z 27009KT 10SM BKN010 OVC014 06/04 A2991 RMK AO2 T00610044,null
OKC,2023-12-01 17:52,40,35,82.15,290,10,0,29.94,1014.1,10,null,OVC,null,null,null,1100,null,null,null,null,null,null,null,null,null,null,33,KOKC 011752Z 29010KT 10SM OVC011 04/02 A2994 RMK AO2 SLP141 60000 T00440017 10050 20033 53009 $,null
TUL,2023-12-01 17:53,43,40,89.06,290,12,0,29.9,1012.5,10,null,BKN,OVC,null,null,1000,1500,null,null,null,null,null,null,null,null,null,36,KTUL 011753Z 29012KT 10SM BKN010 OVC015 06/04 A2990 RMK AO2 SLP125 T00610044 10089 20061 51021,null
