station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
SJU,2023-12-01 0:56,80,75,84.75,120,5,0.02,30.03,1016.9,8,null,FEW,SCT,SCT,null,2200,3100,4000,null,RA,null,null,null,null,null,null,84.88,SJU 010056Z 12005KT 8SM RA FEW022 SCT031 SCT040 27/24 A3003 RMK AO2 RAB52 SLP169 P0002 T02670239 $,null
SJU,2023-12-01 1:56,80,75,84.75,130,3,0.01,30.04,1017.2,10,null,FEW,SCT,SCT,null,2400,3400,5500,null,null,null,null,null,null,null,null,84.88,SJU 010156Z 13003KT 10SM FEW024 SCT034 SCT055 27/24 A3004 RMK AO2 RAE10 SLP172 P0001 T02670239 $,null
SJU,2023-12-01 2:56,79,74,84.69,120,6,0.01,30.05,1017.5,9,null,SCT,SCT,null,null,2800,5500,null,null,#NAME?,null,null,null,null,null,null,79,SJU 010256Z 12006KT 9SM -RA SCT028 SCT055 26/23 A3005 RMK AO2 RAB12 SLP175 P0001 60004 T02610233 51012 $,null
SJU,2023-12-01 3:56,78,75,90.51,150,3,T,30.04,1017.2,10,null,SCT,null,null,null,2800,null,null,null,null,null,null,null,null,null,null,78,SJU 010356Z 15003KT 10SM SCT028 26/24 A3004 RMK AO2 RAE10B46E55 SLP172 P0000 T02560239 403000244 $,null
SJU,2023-12-01 4:56,78,74,87.53,100,4,T,30.04,1016.9,10,null,SCT,null,null,null,2800,null,null,null,null,null,null,null,null,null,null,78,SJU 010456Z 10004KT 10SM SCT028 26/23 A3004 RMK AO2 RAB15E31 SLP169 P0000 T02560233 $,null
SJU,2023-12-01 5:56,79,74,84.69,80,6,0,30.02,1016.4,10,null,SCT,null,null,null,2800,null,null,null,#NAME?,null,null,null,null,null,null,79,SJU 010556Z COR 08006KT 10SM SCT028 26/23 A3002,null
SJU,2023-12-01 6:56,78,74,87.53,0,0,T,30.01,1015.9,10,null,SCT,null,null,null,2200,null,null,null,null,null,null,null,null,null,null,78,SJU 010656Z 00000KT 10SM SCT022 26/23 A3001 RMK AO2 RAE03 SLP159 P0000 T02560233 $,null
SJU,2023-12-01 7:56,78,74,87.53,90,4,0,30,1015.6,10,null,SCT,SCT,null,null,2200,4200,null,null,null,null,null,null,null,null,null,78,SJU 010756Z 09004KT 10SM SCT022 SCT042 26/23 A3000 RMK AO2 SLP156 T02560233 $,null
SJU,2023-12-01 8:56,79,73,81.89,120,3,0,30.01,1016,10,null,FEW,SCT,null,null,2600,3500,null,null,null,null,null,null,null,null,null,79,SJU 010856Z 12003KT 10SM FEW026 SCT035 26/23 A3001 RMK AO2 SLP160 T02610228 55003 $,null
SJU,2023-12-01 9:56,79,73,81.89,110,5,0,30.02,1016.4,10,null,SCT,SCT,null,null,2500,4000,null,null,null,null,null,null,null,null,null,79,SJU 010956Z 11005KT 10SM SCT025 SCT040 26/23 A3002 RMK AO2 SLP164 T02610228 $,null
SJU,2023-12-01 10:56,79,73,81.89,110,6,0,30.04,1017.3,10,null,FEW,SCT,null,null,2500,3300,null,null,null,null,null,null,null,null,null,79,SJU 011056Z 11006KT 10SM FEW025 SCT033 26/23 A3004 RMK AO2 SLP173 T02610228 $,null
SJU,2023-12-01 11:56,81,74,79.32,130,4,0,30.07,1018,10,null,FEW,SCT,null,null,2500,3400,null,null,null,null,null,null,null,null,null,86.3,SJU 011156Z 13004KT 10SM FEW025 SCT034 27/23 A3007 RMK AO2 SLP180 60000 70005 T02720233 10272 20256 53019 $,null
SJU,2023-12-01 12:56,83,73,71.88,90,10,0,30.09,1018.7,10,15,SCT,null,null,null,3200,null,null,null,null,null,null,null,null,null,null,88.9,SJU 011256Z 09010G15KT 10SM SCT032 28/23 A3009 RMK AO2 SLP187 T02830228 $,null
SJU,2023-12-01 13:56,85,73,67.39,90,13,0,30.1,1019.2,10,null,SCT,null,null,null,3000,null,null,null,null,null,null,null,null,null,null,91.74,SJU 011356Z 09013KT 10SM SCT030 29/23 A3010 RMK AO2 SLP192 T02940228,null
SJU,2023-12-01 14:56,86,73,65.27,80,13,0,30.1,1019.1,10,null,SCT,null,null,null,3000,null,null,null,null,null,null,null,null,null,null,93.09,SJU 011456Z 08013KT 10SM SCT030 30/23 A3010 RMK AO2 SLP191 T03000228 50011,null
SJU,2023-12-01 15:56,86,72,63.1,70,16,0,30.07,1018.1,10,null,SCT,null,null,null,3000,null,null,null,null,null,null,null,null,null,null,92.25,SJU 011556Z 07016KT 10SM SCT030 30/22 A3007 RMK AO2 SLP181 T03000222,null
SJU,2023-12-01 16:56,86,73,65.27,70,15,0,30.05,1017.5,10,25,SCT,null,null,null,3500,null,null,null,null,null,null,null,null,null,null,93.09,SJU 011656Z 07015G25KT 10SM SCT035 30/23 A3005 RMK AO2 SLP175 T03000228,null
SJU,2023-12-01 17:56,85,74,69.7,60,16,0,30.03,1016.9,10,null,SCT,SCT,null,null,3000,6500,null,null,null,null,null,null,null,null,null,92.59,SJU 011756Z 06016KT 10SM SCT030 SCT065 29/23 A3003 RMK AO2 SLP169 SHRA DSNT E SE T02940233 10306 20272 56022,null
SJU,2023-12-01 18:56,82,75,79.4,60,10,T,30.03,1016.6,10,null,SCT,BKN,null,null,3500,7000,null,null,null,null,null,null,27,70,2023-12-01 18:28,88.64,SJU 011856Z 06010KT 10SM SCT035 BKN070 28/24 A3003 RMK AO2 PK WND 07027/1828 RAB29E49 SLP166 VCSH NE SW P0000 T02780239,null
SJU,2023-12-01 19:56,83,74,74.33,90,11,0,30.03,1016.7,10,null,SCT,BKN,null,null,3500,8500,null,null,null,null,null,null,null,null,null,89.6,SJU 011956Z 09011KT 10SM SCT035 BKN085 28/23 A3003 RMK AO2 SLP167 VCSH E SE S NW T02830233,null
