station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
PVD,2023-12-01 0:51,43,34,70.3,210,9,0,30.13,1020.3,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,37.19,KPVD 010051Z 21009KT 10SM BKN250 06/01 A3013 RMK AO2 SLP203 T00610011,null
PVD,2023-12-01 1:51,44,36,73.27,220,9,0,30.12,1020.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38.44,KPVD 010151Z 22009KT 10SM CLR 07/02 A3012 RMK AO2 SLP201 T00670022,null
PVD,2023-12-01 2:51,41,36,82.22,210,10,0,30.12,1020,10,null,FEW,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,34.25,KPVD 010251Z COR 21010KT 10SM FEW250 05/02 A3012 RMK AO2 SLP200 T00500022 50001,null
PVD,2023-12-01 3:51,42,36,79.11,200,7,0,30.13,1020.2,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,36.97,KPVD 010351Z 20007KT 10SM SCT250 06/02 A3013 RMK AO2 SLP202 T00560022,null
PVD,2023-12-01 4:51,45,37,73.37,240,8,0,30.13,1020.4,10,null,SCT,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,40.13,KPVD 010451Z 24008KT 10SM SCT250 07/03 A3013 RMK AO2 SLP204 LAST T00720028 400831033,null
PVD,2023-12-01 5:51,45,39,79.36,200,8,0,30.13,1020.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40.13,KPVD 010551Z 20008KT 10SM CLR 07/04 A3013 RMK AO2 SLP203 T00720039 10078 20050 50003,null
PVD,2023-12-01 6:51,45,39,79.36,220,7,0,30.14,1020.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40.63,KPVD 010651Z 22007KT 10SM CLR 07/04 A3014 RMK AO2 SLP206 T00720039,null
PVD,2023-12-01 7:51,44,39,82.44,220,8,0,30.15,1020.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38.9,KPVD 010751Z 22008KT 10SM CLR 07/04 A3015 RMK AO2 SLP209 T00670039,null
PVD,2023-12-01 8:51,43,38,82.37,220,8,0,30.14,1020.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37.66,KPVD 010851Z 22008KT 10SM CLR 06/03 A3014 RMK AO2 SLP207 T00610033 50004,null
PVD,2023-12-01 9:51,41,37,85.54,230,4,0,30.14,1020.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37.93,KPVD 010951Z 23004KT 10SM CLR 05/03 A3014 RMK AO2 SLP207 T00500028,null
PVD,2023-12-01 10:51,39,35,85.42,220,6,0,30.15,1020.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33.96,KPVD 011051Z 22006KT 10SM CLR 04/02 A3015 RMK AO2 SLP208 T00390017,null
PVD,2023-12-01 11:51,42,36,79.11,240,7,0,30.15,1021.1,10,null,FEW,FEW,FEW,null,1000,15000,25000,null,null,null,null,null,null,null,null,36.97,KPVD 011151Z 24007KT 10SM FEW010 FEW150 FEW250 06/02 A3015 RMK AO2 SLP211 T00560022 10078 20033 53004,null
PVD,2023-12-01 12:51,45,38,76.31,250,5,0,30.16,1021.3,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,41.83,KPVD 011251Z 25005KT 10SM BKN250 07/03 A3016 RMK AO2 SLP213 T00720033,null
PVD,2023-12-01 13:51,48,39,70.85,230,8,0,30.17,1021.7,10,null,FEW,BKN,null,null,20000,25000,null,null,null,null,null,null,null,null,null,43.82,KPVD 011351Z 23008KT 10SM FEW200 BKN250 09/04 A3017 RMK AO2 SLP217 T00890039,null
PVD,2023-12-01 14:51,50,38,63.23,240,11,0,30.17,1021.6,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,50,KPVD 011451Z 24011KT 10SM BKN250 10/03 A3017 RMK AO2 SLP216 T01000033 50005,null
PVD,2023-12-01 15:51,52,38,58.71,230,8,0,30.15,1020.8,10,null,BKN,null,null,null,25000,null,null,null,null,null,null,null,null,null,null,52,KPVD 011551Z 23008KT 10SM BKN250 11/03 A3015 RMK AO2 SLP208 T01110033,null
PVD,2023-12-01 16:51,54,37,52.45,250,5,0,30.13,1020.4,10,null,SCT,OVC,null,null,21000,25000,null,null,null,null,null,null,null,null,null,54,KPVD 011651Z COR 25005KT 10SM SCT210 OVC250 12/03 A3013 RMK AO2 SLP204 T01220028,null
PVD,2023-12-01 17:51,54,37,52.45,180,9,0,30.13,1020.3,10,null,BKN,OVC,null,null,18000,25000,null,null,null,null,null,null,null,null,null,54,KPVD 011751Z 18009KT 10SM BKN180 OVC250 12/03 A3013 RMK AO2 SLP203 T01220028 10128 20056 56014,null
PVD,2023-12-01 18:51,53,35,50.27,230,7,0,30.13,1020.4,10,null,BKN,BKN,OVC,null,12000,18000,25000,null,null,null,null,null,null,null,null,53,KPVD 011851Z 23007KT 10SM BKN120 BKN180 OVC250 12/02 A3013 RMK AO2 SLP204 T01170017,null
PVD,2023-12-01 19:51,52,38,58.71,190,6,0,30.12,1019.8,10,null,FEW,BKN,OVC,null,7000,9500,18000,null,null,null,null,null,null,null,null,52,KPVD 011951Z 19006KT 10SM FEW070 BKN095 OVC180 11/03 A3012 RMK AO2 SLP198 T01110033,null
PVD,2023-12-01 20:51,50,40,68.37,200,7,T,30.11,1019.6,10,null,OVC,null,null,null,8000,null,null,null,null,null,null,null,null,null,null,50,KPVD 012051Z 20007KT 10SM OVC080 10/04 A3011 RMK AO2 RAB23E34 SLP196 P0000 60000 T01000044 58006,null
PVD,2023-12-01 21:51,50,40,68.37,210,6,T,30.13,1020.1,10,null,SCT,BKN,OVC,null,8000,11000,13000,null,null,null,null,null,null,null,null,50,KPVD 012151Z 21006KT 10SM SCT080 BKN110 OVC130 10/04 A3013 RMK AO2 RAB20E33 SLP201 P0000 T01000044,null
PVD,2023-12-01 22:51,50,41,71.07,0,0,T,30.08,1018.6,10,null,BKN,BKN,OVC,null,6000,8000,10000,null,#NAME?,null,null,null,null,null,null,50,KPVD 012251Z 00000KT 10SM -RA BKN060 BKN080 OVC100 10/05 A3008 RMK AO2 RAB45 PRESFR SLP186 P0000 T01000050,null
PVD,2023-12-01 23:51,48,43,82.72,170,3,T,30.11,1019.5,10,null,FEW,OVC,null,null,8000,10000,null,null,null,null,null,null,null,null,null,46.98,KPVD 012351Z 17003KT 10SM FEW080 OVC100 09/06 A3011 RMK AO2 RAE00 SLP195 P0000 60000 T00890061 10128 20083 55001,null
PVD,2023-12-02 0:51,48,45,89.29,0,0,T,30.09,1018.8,10,null,SCT,OVC,null,null,6500,9000,null,null,#NAME?,null,null,null,null,null,null,48,KPVD 020051Z 00000KT 10SM -RA SCT065 OVC090 09/07 A3009 RMK AO2 RAB51 SLP188 P0000 T00890072,null
PVD,2023-12-02 1:51,46,45,96.28,180,4,T,30.08,1018.5,10,null,OVC,null,null,null,6500,null,null,null,#NAME?,null,null,null,null,null,null,43.77,KPVD 020151Z 18004KT 10SM -RA OVC065 08/07 A3008 RMK AO2 SLP185 P0000 T00780072,null
PVD,2023-12-02 2:31,48,47,96.31,210,8,0.01,30.07,null,8,null,FEW,BKN,OVC,null,1400,2300,3400,null,#NAME?,null,null,null,null,null,null,43.82,KPVD 020231Z 21008KT 8SM -RA FEW014 BKN023 OVC034 09/08 A3007 RMK AO2 P0001 T00890083,null
PVD,2023-12-02 2:51,48,46,92.74,230,5,0.02,30.07,1018.3,6,null,FEW,BKN,OVC,null,1400,2300,3400,null,#NAME?,null,null,null,null,null,null,45.4,KPVD 020251Z 23005KT 6SM -RA BR FEW014 BKN023 OVC034 09/08 A3007 RMK AO2 SLP183 P0002 60002 T00890078 56012,null
PVD,2023-12-02 3:51,47,47,100,210,9,0.02,30.06,1017.9,7,null,SCT,SCT,OVC,null,1900,2700,4900,null,#NAME?,null,null,null,null,null,null,42.17,KPVD 020351Z 21009KT 7SM -RA SCT019 SCT027 OVC049 08/08 A3006 RMK AO2 SLP179 P0002 T00830083,null
PVD,2023-12-02 4:51,47,47,100,180,4,0.01,30.04,1017.1,4,null,SCT,BKN,OVC,null,1200,2900,4900,null,#NAME?,null,null,null,null,null,null,44.94,KPVD 020451Z 18004KT 4SM -RA BR SCT012 BKN029 OVC049 08/08 A3004 RMK AO2 SLP171 LAST P0001 T00830083 401280033,null
PVD,2023-12-02 5:19,47,47,100,170,5,T,30.02,null,6,null,BKN,OVC,null,null,1200,2100,null,null,#NAME?,null,null,null,null,null,null,44.21,KPVD 020519Z 17005KT 6SM -RA BR BKN012 OVC021 08/08 A3002 RMK AO2 P0000 T00830083,null
PVD,2023-12-02 5:51,47,47,100,180,4,T,30.02,1016.4,6,null,OVC,null,null,null,900,null,null,null,BR,null,null,null,null,null,null,44.94,KPVD 020551Z AUTO 18004KT 6SM BR OVC009 08/08 A3002 RMK AO2 RAE27 SLP164 P0000 60005 T00830083 10094 20078 58018,null
PVD,2023-12-02 6:51,46,46,100,180,4,0,30.01,1016.2,7,null,OVC,null,null,null,700,null,null,null,null,null,null,null,null,null,null,43.77,KPVD 020651Z AUTO 18004KT 7SM OVC007 08/08 A3001 RMK AO2 SLP162 T00780078,null
PVD,2023-12-02 7:51,46,46,100,170,3,0,30.01,1016.2,6,null,OVC,null,null,null,700,null,null,null,BR,null,null,null,null,null,null,44.69,KPVD 020751Z AUTO 17003KT 6SM BR OVC007 08/08 A3001 RMK AO2 SLP162 T00780078,null
PVD,2023-12-02 8:51,46,46,100,0,0,0,29.99,1015.7,4,null,FEW,OVC,null,null,300,700,null,null,BR,null,null,null,null,null,null,46,KPVD 020851Z AUTO 00000KT 4SM BR FEW003 OVC007 08/08 A2999 RMK AO2 SLP157 T00780078 58007,null
PVD,2023-12-02 9:17,46,46,100,0,0,0,29.99,null,4,null,OVC,null,null,null,1000,null,null,null,BR,null,null,null,null,null,null,46,KPVD 020917Z AUTO 00000KT 4SM BR OVC010 08/08 A2999 RMK AO2 T00780078,null
PVD,2023-12-02 9:51,46,46,100,180,4,0,30,1015.8,4,null,OVC,null,null,null,1000,null,null,null,BR,null,null,null,null,null,null,43.77,KPVD 020951Z AUTO 18004KT 4SM BR OVC010 08/08 A3000 RMK AO2 SLP158 T00780078,null
PVD,2023-12-02 10:34,47,47,100,180,3,0,30.01,null,7,null,OVC,null,null,null,800,null,null,null,null,null,null,null,null,null,null,45.84,KPVD 021034Z 18003KT 7SM OVC008 08/08 A3001 RMK AO2 T00830083,null
PVD,2023-12-02 10:51,47,47,100,190,3,0,30,1015.9,7,null,OVC,null,null,null,800,null,null,null,null,null,null,null,null,null,null,45.84,KPVD 021051Z 19003KT 7SM OVC008 08/08 A3000 RMK AO2 SLP159 T00830083,null
PVD,2023-12-02 11:51,48,48,100,230,5,0,30,1016,8,null,OVC,null,null,null,800,null,null,null,null,null,null,null,null,null,null,45.4,KPVD 021151Z 23005KT 8SM OVC008 09/09 A3000 RMK AO2 SLP160 70005 T00890089 10089 20078 52003,null
PVD,2023-12-02 12:51,48,48,100,240,3,0,30,1016,6,null,OVC,null,null,null,800,null,null,null,BR,null,null,null,null,null,null,46.98,KPVD 021251Z 24003KT 6SM BR OVC008 09/09 A3000 RMK AO2 SLP160 T00890089,null
PVD,2023-12-02 13:51,49,48,96.32,250,7,0,30.01,1016.2,7,null,OVC,null,null,null,800,null,null,null,null,null,null,null,null,null,null,45.5,KPVD 021351Z 25007KT 7SM OVC008 09/09 A3001 RMK AO2 SLP162 T00940089,null
PVD,2023-12-02 14:51,49,48,96.32,250,9,0,30.01,1016.3,7,null,OVC,null,null,null,800,null,null,null,null,null,null,null,null,null,null,44.65,KPVD 021451Z 25009KT 7SM OVC008 09/09 A3001 RMK AO2 SLP163 T00940089 51003,null
