station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
MYR,2023-12-01 0:56,47,42,82.65,0,0,0,30.24,1024,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47,KMYR 010056Z 00000KT 10SM CLR 08/06 A3024 RMK AO2 SLP240 T00830056,null
MYR,2023-12-01 1:56,47,42,82.65,0,0,0,30.24,1023.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47,KMYR 010156Z 00000KT 10SM CLR 08/06 A3024 RMK AO2 SLP239 T00830056,null
MYR,2023-12-01 2:56,46,43,89.2,330,3,0,30.24,1023.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44.69,KMYR 010256Z 33003KT 10SM CLR 08/06 A3024 RMK AO2 SLP238 T00780061 56002,null
MYR,2023-12-01 3:56,44,43,96.24,340,3,0,30.23,1023.8,10,null,SCT,null,null,null,5000,null,null,null,null,null,null,null,null,null,null,42.41,KMYR 010356Z 34003KT 10SM SCT050 07/06 A3023 RMK AO2 SLP238 T00670061,null
MYR,2023-12-01 4:56,44,43,96.24,340,4,0,30.23,1023.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41.43,KMYR 010456Z 34004KT 10SM CLR 07/06 A3023 RMK AO2 SLP236 T00670061 401391006,null
MYR,2023-12-01 5:56,44,43,96.24,0,0,0,30.21,1023.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44,KMYR 010556Z 00000KT 10SM CLR 07/06 A3021 RMK AO2 SLP231 T00670061 10089 20061 58008,null
MYR,2023-12-01 6:56,43,43,100,340,3,0,30.21,1022.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41.26,KMYR 010656Z 34003KT 10SM CLR 06/06 A3021 RMK AO2 SLP229 T00610061,null
MYR,2023-12-01 7:56,44,43,96.24,330,4,0,30.2,1022.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41.43,KMYR 010756Z 33004KT 10SM CLR 07/06 A3020 RMK AO2 SLP228 T00670061,null
MYR,2023-12-01 8:56,44,44,100,330,4,0,30.19,1022.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41.43,KMYR 010856Z 33004KT 10SM CLR 07/07 A3019 RMK AO2 SLP223 T00670067 58008,null
MYR,2023-12-01 9:56,45,45,100,330,4,0,30.19,1022.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42.6,KMYR 010956Z 33004KT 10SM CLR 07/07 A3019 RMK AO2 SLP223 T00720072,null
MYR,2023-12-01 10:56,45,45,100,340,3,0,30.19,1022.3,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,43.55,KMYR 011056Z 34003KT 10SM CLR 07/07 A3019 RMK AO2 SLP223 T00720072,null
MYR,2023-12-01 11:56,48,48,100,0,0,0,30.2,1022.5,10,null,BKN,null,null,null,4800,null,null,null,null,null,null,null,null,null,null,48,KMYR 011156Z 00000KT 10SM BKN048 09/09 A3020 RMK AO2 SLP225 T00890089 10089 20056 53002,null
MYR,2023-12-01 12:56,51,51,100,0,0,0,30.19,1022.2,10,null,BKN,null,null,null,4800,null,null,null,null,null,null,null,null,null,null,51,KMYR 011256Z 00000KT 10SM BKN048 11/11 A3019 RMK AO2 SLP222 T01060106,null
MYR,2023-12-01 13:56,63,58,83.72,80,4,0,30.21,1022.8,10,null,FEW,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,63,KMYR 011356Z 08004KT 10SM FEW060 17/14 A3021 RMK AO2 SLP228 T01720144,null
MYR,2023-12-01 14:56,66,60,80.98,80,5,0,30.19,1022.4,10,null,FEW,null,null,null,6000,null,null,null,null,null,null,null,null,null,null,66,KMYR 011456Z 08005KT 10SM FEW060 19/16 A3019 RMK AO2 SLP224 T01890156 58001,null
MYR,2023-12-01 15:56,67,60,78.22,70,3,0,30.2,1022.5,10,null,BKN,null,null,null,12000,null,null,null,null,null,null,null,null,null,null,67,KMYR 011556Z 07003KT 10SM BKN120 19/16 A3020 RMK AO2 SLP225 T01940156,null
MYR,2023-12-01 16:56,69,61,75.66,130,3,0,30.18,1021.8,10,null,BKN,OVC,null,null,6000,12000,null,null,null,null,null,null,null,null,null,69,KMYR 011656Z 13003KT 10SM BKN060 OVC120 21/16 A3018 RMK AO2 SLP218 T02060161,null
MYR,2023-12-01 17:56,68,62,81.12,0,0,0,30.15,1021,10,null,BKN,OVC,null,null,4100,11000,null,null,null,null,null,null,null,null,null,68,KMYR 011756Z 00000KT 10SM BKN041 OVC110 20/17 A3015 RMK AO2 SLP210 T02000167 10211 20089 58014,null
MYR,2023-12-01 18:56,68,63,84.03,100,4,0,30.13,1020.2,10,null,FEW,null,null,null,4000,null,null,null,null,null,null,null,null,null,null,68,KMYR 011856Z 10004KT 10SM FEW040 20/17 A3013 RMK AO2 SLP202 T02000172,null
MYR,2023-12-01 19:56,68,65,90.13,140,6,0,30.11,1019.4,10,null,BKN,OVC,null,null,3400,4600,null,null,null,null,null,null,null,null,null,68,KMYR 011956Z 14006KT 10SM BKN034 OVC046 20/18 A3011 RMK AO2 SLP194 T02000183,null
MYR,2023-12-01 20:42,66.2,66.2,100,170,7,0,30.11,null,10,null,FEW,BKN,OVC,null,1400,2400,3000,null,null,null,null,null,null,null,null,66.2,KMYR 012042Z 17007KT 10SM FEW014 BKN024 OVC030 19/19 A3011 RMK AO2,null
MYR,2023-12-01 20:56,66,66,100,170,10,0,30.11,1019.4,10,null,FEW,BKN,OVC,null,1400,2200,3800,null,null,null,null,null,null,null,null,66,KMYR 012056Z 17010KT 10SM FEW014 BKN022 OVC038 19/19 A3011 RMK AO2 SLP194 T01890189 56016,null
MYR,2023-12-01 21:15,64.4,64.4,100,180,12,0,30.1,null,10,null,FEW,BKN,null,null,2500,5000,null,null,null,null,null,null,null,null,null,64.4,KMYR 012115Z 18012KT 10SM FEW025 BKN050 18/18 A3010 RMK AO2,null
MYR,2023-12-01 21:56,66,66,100,180,11,0,30.09,1019,10,null,FEW,SCT,null,null,3500,10000,null,null,null,null,null,null,null,null,null,66,KMYR 012156Z 18011KT 10SM FEW035 SCT100 19/19 A3009 RMK AO2 SLP190 T01890189,null
MYR,2023-12-01 22:42,64.4,64.4,100,170,6,0,30.1,null,10,null,SCT,OVC,null,null,2100,2700,null,null,null,null,null,null,null,null,null,64.4,KMYR 012242Z 17006KT 10SM SCT021 OVC027 18/18 A3010 RMK AO2,null
MYR,2023-12-01 22:56,65,65,100,180,6,0,30.1,1019.2,10,null,SCT,OVC,null,null,2100,2900,null,null,null,null,null,null,null,null,null,65,KMYR 012256Z 18006KT 10SM SCT021 OVC029 18/18 A3010 RMK AO2 SLP192 T01830183,null
MYR,2023-12-01 23:56,65,65,100,170,8,0,30.12,1019.9,10,null,BKN,BKN,null,null,1900,2500,null,null,null,null,null,null,null,null,null,65,KMYR 012356Z 17008KT 10SM BKN019 BKN025 18/18 A3012 RMK AO2 SLP199 T01830183 10206 20183 53005,null
MYR,2023-12-02 0:56,68,68,100,210,5,0,30.14,1020.5,10,null,BKN,OVC,null,null,1700,2400,null,null,null,null,null,null,null,null,null,68,KMYR 020056Z 21005KT 10SM BKN017 OVC024 20/20 A3014 RMK AO2 SLP205 T02000200,null
MYR,2023-12-02 1:56,66,66,100,160,6,0,30.11,1019.7,8,null,FEW,SCT,null,null,1300,2900,null,null,null,null,null,null,null,null,null,66,KMYR 020156Z 16006KT 8SM FEW013 SCT029 19/19 A3011 RMK AO2 SLP197 T01890189,null
MYR,2023-12-02 2:56,66,66,100,160,4,0,null,null,7,null,BKN,OVC,null,null,2100,11000,null,null,null,null,null,null,null,null,null,66,KMYR 020256Z 16004KT 7SM BKN021 OVC110 19/19 RMK AO2 SLPNO T01890189 $,null
MYR,2023-12-02 3:39,66.2,66.2,100,150,4,0,30.1,null,9,null,FEW,OVC,null,null,1900,11000,null,null,null,null,null,null,null,null,null,66.2,KMYR 020339Z 15004KT 9SM FEW019 OVC110 19/19 A3010 RMK AO2,null
MYR,2023-12-02 3:56,66,66,100,160,4,0,30.1,1019.3,6,null,OVC,null,null,null,11000,null,null,null,BR,null,null,null,null,null,null,66,KMYR 020356Z AUTO 16004KT 6SM BR OVC110 19/19 A3010 RMK AO2 SLP193 T01890189,null
MYR,2023-12-02 4:27,66.2,66.2,100,150,5,0,30.1,null,7,null,BKN,OVC,null,null,1300,11000,null,null,null,null,null,null,null,null,null,66.2,KMYR 020427Z AUTO 15005KT 7SM BKN013 OVC110 19/19 A3010 RMK AO2,null
MYR,2023-12-02 4:46,64.4,64.4,100,160,5,0,30.1,null,4,null,SCT,OVC,null,null,200,1300,null,null,BR,null,null,null,null,null,null,64.4,KMYR 020446Z AUTO 16005KT 4SM BR SCT002 OVC013 18/18 A3010 RMK AO2 402110056,null
MYR,2023-12-02 4:51,64.4,64.4,100,160,6,0,30.1,null,2,null,SCT,BKN,OVC,null,200,800,1300,null,BR,null,null,null,null,null,null,64.4,KMYR 020451Z AUTO 16006KT 2SM BR SCT002 BKN008 OVC013 18/18 A3010 RMK AO2 CIG 007V010 402110056,null
