station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ORF,2023-12-01 0:51,46,31,55.58,180,6,0,30.22,1023.4,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42.39,KORF 010051Z 18006KT 10SM CLR 08/M01 A3022 RMK AO2 SLP234 T00781006,null
RIC,2023-12-01 0:54,43,30,59.83,180,8,0,30.18,1022.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37.66,KRIC 010054Z 18008KT 10SM CLR 06/M01 A3018 RMK AO2 SLP227 T00611011 $,null
ORF,2023-12-01 1:51,42,32,67.42,200,5,0,30.21,1022.9,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38.27,KORF 010151Z 20005KT 10SM CLR 06/00 A3021 RMK AO2 SLP229 T00560000,null
RIC,2023-12-01 1:54,41,29,62.04,190,7,0,30.19,1022.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35.75,KRIC 010154Z 19007KT 10SM CLR 05/M02 A3019 RMK AO2 SLP228 T00501017 $,null
ORF,2023-12-01 2:51,42,32,67.42,200,5,0,30.22,1023.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38.27,KORF 010251Z 20005KT 10SM CLR 06/00 A3022 RMK AO2 SLP231 T00560000 51001,null
RIC,2023-12-01 2:54,41,29,62.04,180,6,0,30.19,1022.9,10,null,SCT,null,null,null,30000,null,null,null,null,null,null,null,null,null,null,36.37,KRIC 010254Z 18006KT 10SM SCT300 05/M02 A3019 RMK AO2 SLP229 T00501017 51006 $,null
ORF,2023-12-01 3:51,39,31,72.75,220,6,0,30.22,1023.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33.96,KORF 010351Z 22006KT 10SM CLR 04/M01 A3022 RMK AO2 SLP232 T00391006,null
RIC,2023-12-01 3:54,40,30,67.18,190,6,0,30.19,1022.7,10,null,SCT,null,null,null,30000,null,null,null,null,null,null,null,null,null,null,35.17,KRIC 010354Z 19006KT 10SM SCT300 04/M01 A3019 RMK AO2 SLP227 T00441011 $,null
ORF,2023-12-01 4:51,38,31,75.65,210,5,0,30.22,1023.2,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33.52,KORF 010451Z 21005KT 10SM CLR 03/M01 A3022 RMK AO2 SLP232 T00331006 401391017,null
RIC,2023-12-01 4:54,43,30,59.83,170,5,0,30.19,1023,10,null,BKN,null,null,null,30000,null,null,null,null,null,null,null,null,null,null,39.46,KRIC 010454Z 17005KT 10SM BKN300 06/M01 A3019 RMK AO2 SLP230 T00611011 401441044 $,null
ORF,2023-12-01 5:51,38,32,78.77,210,6,0,30.22,1023.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.76,KORF 010551Z 21006KT 10SM CLR 03/00 A3022 RMK AO2 SLP231 T00330000 10083 20028 50000,null
RIC,2023-12-01 5:54,39,29,67.06,180,6,0,30.19,1022.8,10,null,FEW,null,null,null,30000,null,null,null,null,null,null,null,null,null,null,33.96,KRIC 010554Z 18006KT 10SM FEW300 04/M02 A3019 RMK AO2 SLP228 T00391017 10078 20039 58001 $,null
RIC,2023-12-01 6:54,37,28,69.63,190,3,0,30.19,1022.8,10,null,FEW,null,null,null,30000,null,null,null,null,null,null,null,null,null,null,34.4,KRIC 010654Z 19003KT 10SM FEW300 03/M02 A3019 RMK AO2 SLP228 T00281022 $,null
ORF,2023-12-01 7:51,35,31,85.17,210,5,0,30.22,1023.1,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.96,KORF 010751Z 21005KT 10SM CLR 02/M01 A3022 RMK AO2 SLP231 T00171006,null
RIC,2023-12-01 7:54,37,29,72.54,170,6,0,30.19,1022.9,10,null,FEW,null,null,null,30000,null,null,null,null,null,null,null,null,null,null,31.55,KRIC 010754Z 17006KT 10SM FEW300 03/M02 A3019 RMK AO2 SLP229 T00281017 $,null
ORF,2023-12-01 8:51,37,32,81.93,200,4,0,30.21,1022.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33.26,KORF 010851Z 20004KT 10SM CLR 03/00 A3021 RMK AO2 SLP228 T00280000 58003,null
RIC,2023-12-01 8:54,36,28,72.43,180,3,0,30.18,1022.5,10,null,FEW,null,null,null,30000,null,null,null,null,null,null,null,null,null,null,33.26,KRIC 010854Z 18003KT 10SM FEW300 02/M02 A3018 RMK AO2 SLP225 T00221022 58002 $,null
ORF,2023-12-01 9:51,36,32,85.23,220,5,0,30.23,1023.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31.15,KORF 010951Z 22005KT 10SM CLR 02/00 A3023 RMK AO2 SLP236 T00220000,null
RIC,2023-12-01 9:54,36,28,72.43,170,5,0,30.19,1022.9,10,null,FEW,null,null,null,30000,null,null,null,null,null,null,null,null,null,null,31.15,KRIC 010954Z 17005KT 10SM FEW300 02/M02 A3019 RMK AO2 SLP229 T00221022 $,null
ORF,2023-12-01 10:51,36,31,81.86,210,4,0,30.23,1023.5,8,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32.09,KORF 011051Z 21004KT 8SM CLR 02/M01 A3023 RMK AO2 SLP235 T00221006,null
RIC,2023-12-01 10:54,35,28,75.36,190,4,0,30.2,1023.1,10,null,FEW,null,null,null,30000,null,null,null,null,null,null,null,null,null,null,30.92,KRIC 011054Z 19004KT 10SM FEW300 02/M02 A3020 RMK AO2 SLP231 T00171022 $,null
ORF,2023-12-01 11:51,35,32,88.68,180,5,0,30.23,1023.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29.96,KORF 011151Z 18005KT 10SM CLR 02/00 A3023 RMK AO2 SLP236 T00170000 10039 20000 51007,null
RIC,2023-12-01 11:54,35,28,75.36,150,3,0,30.19,1023,10,null,FEW,SCT,null,null,17000,30000,null,null,null,null,null,null,null,null,null,32.12,KRIC 011154Z 15003KT 10SM FEW170 SCT300 02/M02 A3019 RMK AO2 SLP230 T00171022 10044 20006 50005 $,null
ORF,2023-12-01 12:51,38,34,85.35,200,3,0,30.23,1023.6,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35.55,KORF 011251Z AUTO 20003KT 10SM CLR 03/01 A3023 RMK AO2 SLP236 T00330011,null
RIC,2023-12-01 12:54,36,30,78.6,130,4,0,30.19,1022.8,10,null,BKN,BKN,null,null,17000,30000,null,null,null,null,null,null,null,null,null,32.09,KRIC 011254Z 13004KT 10SM BKN170 BKN300 02/M01 A3019 RMK AO2 SLP228 T00221011 $,null
ORF,2023-12-01 13:51,46,37,70.64,210,5,0,30.24,1023.8,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,43.02,KORF 011351Z 21005KT 10SM CLR 08/03 A3024 RMK AO2 SLP238 T00780028,null
RIC,2023-12-01 13:54,45,34,65.13,200,7,0,30.2,1023.1,10,null,BKN,BKN,null,null,17000,30000,null,null,null,null,null,null,null,null,null,40.63,KRIC 011354Z 20007KT 10SM BKN170 BKN300 07/01 A3020 RMK AO2 SLP231 T00720011 $,null
ORF,2023-12-01 14:51,52,37,56.45,190,5,0,30.23,1023.5,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,52,KORF 011451Z 19005KT 10SM CLR 11/03 A3023 RMK AO2 SLP235 T01110028 58001,null
RIC,2023-12-01 14:54,49,33,53.82,null,null,0,30.21,1023.5,10,null,BKN,BKN,null,null,17000,30000,null,null,null,null,null,null,null,null,null,null,KRIC 011454Z 10SM BKN170 BKN300 09/01 A3021 RMK AO2 SLP235 T00940006 53005 $,null
ORF,2023-12-01 15:51,59,35,40.45,160,5,0,30.2,1022.7,10,null,CLR,null,null,null,null,null,null,null,null,null,null,null,null,null,null,59,KORF 011551Z 16005KT 10SM CLR 15/02 A3020 RMK AO2 SLP227 T01500017,null
